#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/872/192/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18720192
#Name: J/ApJ/872/192
#Title: A spectroscopic census of A2029 members (Sohn+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/872/192	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/872/192	    IVOID of underlying data collection
#INFO	creator=Sohn J.	    First author or institution
#INFO	cites=bibcode:2019ApJ...872..192S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/872/192	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18720192	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_872_192_table1:
#Name: J/ApJ/872/192/table1
#Title: Physical properties of the spectroscopic members of A2029
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	SDSS	(A19)	SDSS name (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id;meta.main]
#Column	objID	(I19)	SDSS object identifier	[ucd=meta.id]
#Column	RAJ2000	(F10.6)	[226.15/229.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[4.1/7.4] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0.069/0.09] Spectroscopic redshift	[ucd=src.redshift]
#Column	e_z	(F7.4)	[0/0.001]? Uncertainty in z	[ucd=stat.error;src.redshift]
#Column	logM*	(F6.2)	[7/11.9]? log stellar mass	[ucd=phys.mass]
#Column	e_logM*	(F5.2)	[0/0.6] Uncertainty in logM*	[ucd=stat.error]
#Column	Dn4000	(F5.2)	[0.1/4.9]? The D_n_4000 spectroscopic index	[ucd=spect.index]
#Column	e_Dn4000	(F5.2)	[0/3.8]? Uncertainty in Dn4000	[ucd=stat.error]
#Column	sigma	(I3)	[7/983]? Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	[0/873]? Uncertainty in sigma	[ucd=stat.error]
#Column	Class	(A1)	Spectral type code (1)	[ucd=meta.code.class]
#Column	E+A?	(A1)	[NY] An E+A galaxy?	[ucd=meta.code]
#Column	T13	(I3)	Display data from Tyler+, 2013, J/ApJ/773/86 within 3"	[ucd=meta.ref.url]
#Column	S17	(I3)	Display data from Sohn+, 2017, J/ApJS/229/20 within 3"	[ucd=meta.ref.url]
#Column	PapI	(I3)	Display data from Sohn+, 2019, J/ApJ/871/129	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS DR14 or DR7 data for this object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	SDSS	objID	RAJ2000	DEJ2000	z	e_z	logM*	e_logM*	Dn4000	e_Dn4000	sigma	e_sigma	Class	E+A?	T13	S17	PapI	Sloan	Simbad
     109	J151116.81+054504.4	1237662268074033560	227.820061	+05.751223	 0.0805	 0.0001	  9.52	 0.16	 1.81	 0.05	 58	 17	N	N	  1	  1	  1	Sloan	Simbad
     110	J151119.81+054440.0	1237662268074033589	227.832568	+05.744460	 0.0781	 0.0001	 10.63	 0.11	 2.09	 0.06	208	 10	N	N	  1	  1	  1	Sloan	Simbad
     111	J151104.13+055052.8	1237662268074033732	227.767220	+05.848005	 0.0807	 0.0001	  9.44	 0.12	 1.95	 0.10	 36	 51	N	N	  0	  1	  1	Sloan	Simbad
     112	J151112.92+054933.6	1237662268074033755	227.803834	+05.826025	 0.0788	 0.0001	  9.29	 0.11	 1.64	 0.07	 22	440	N	N	  1	  1	  1	Sloan	Simbad
     113	J151116.08+054633.1	1237662268074033855	227.817017	+05.775886	 0.0733	 0.0000	  8.05	 0.09	 0.96	 0.02	561	 72	S	N	  1	  1	  1	Sloan	Simbad
     114	J151120.67+054616.3	1237662268074034290	227.836149	+05.771201	 0.0740	 0.0001	  9.12	 0.08	 1.70	 0.08	 68	 25	N	N	  1	  1	  1	Sloan	Simbad
     115	J151035.10+053924.6	1237655744020021540	227.646261	+05.656846	 0.0810	 0.0001	 10.94	 0.19	 2.03	 0.04	218	  6	N	N	  1	  1	  1	Sloan	Simbad
     116	J151038.79+054027.8	1237655744020021583	227.661659	+05.674413	 0.0828	 0.0000	  9.87	 0.07	 1.14	 0.02	182	 26	S	N	  1	  1	  1	Sloan	Simbad
     117	J151037.95+054020.3	1237655744020021586	227.658157	+05.672311	 0.0849	 0.0001	  9.63	 0.09	 1.69	 0.07	 22	197	N	N	  0	  1	  1	Sloan	Simbad
     118	J151039.92+053919.0	1237655744020021610	227.666369	+05.655278	 0.0767	 0.0001	 10.76	 0.13	 2.16	 0.06	277	 11	N	N	  1	  1	  1	Sloan	Simbad
     119	J151041.73+054001.9	1237655744020021625	227.673884	+05.667212	 0.0784	 0.0001	  9.99	 0.18	 2.05	 0.06	108	  9	N	N	  1	  1	  1	Sloan	Simbad
     120	J151043.42+054033.7	1237655744020021636	227.680923	+05.676043	 0.0773	 0.0001	 10.59	 0.06	 2.00	 0.04	170	  5	N	N	  1	  1	  1	Sloan	Simbad
     121	J151043.78+054017.5	1237655744020021637	227.682419	+05.671538	 0.0812	 0.0000	  9.65	 0.06	 1.10	 0.02	 45	 32	S	N	  1	  1	  1	Sloan	Simbad
     122	J151044.26+053926.6	1237655744020021645	227.684447	+05.657396	 0.0783	 0.0001	 10.00	 0.15	 1.94	 0.04	142	  7	N	N	  1	  0	  1	Sloan	Simbad
     123	J151047.54+053856.7	1237655744020021662	227.698109	+05.649094	 0.0854	 0.0000	 10.59	 0.07	 1.95	 0.04	139	  5	N	N	  1	  1	  1	Sloan	Simbad
     124	J151046.82+053851.1	1237655744020021664	227.695092	+05.647554	 0.0747	 0.0001	  9.94	 0.12	 1.82	 0.06	 82	 14	N	N	  1	  1	  1	Sloan	Simbad
     125	J151049.76+053919.7	1237655744020021691	227.707360	+05.655485	 0.0808	 0.0001	  9.95	 0.08	 1.94	 0.05	 79	 11	N	N	  1	  1	  1	Sloan	Simbad
     126	J151050.48+053729.1	1237655744020021708	227.710364	+05.624756	 0.0784	 0.0001	 10.11	 0.13	 1.83	 0.06	 22	  0	N	N	  1	  1	  1	Sloan	Simbad
     127	J151052.11+053926.9	1237655744020021715	227.717156	+05.657484	 0.0748	 0.0001	 10.67	 0.15	 1.84	 0.04	268	  9	N	N	  1	  1	  1	Sloan	Simbad
     128	J151052.12+053728.1	1237655744020021723	227.717168	+05.624486	 0.0840	 0.0000	 10.09	 0.15	 2.10	 0.06	130	  8	N	N	  0	  1	  1	Sloan	Simbad
     129	J151056.02+053856.7	1237655744020021734	227.733444	+05.649088	 0.0841	 0.0001	  9.74	 0.14	 1.84	 0.05	 47	 14	N	N	  1	  1	  1	Sloan	Simbad
     130	J151055.93+053755.1	1237655744020021792	227.733056	+05.631971	 0.0780	 0.0001	  9.96	 0.14	 1.81	 0.06	 56	 19	N	N	  1	  1	  1	Sloan	Simbad
     131	J151030.58+054349.2	1237655744020022021	227.627433	+05.730344	 0.0771	 0.0000	  8.19	 0.18	 1.28	 0.08	603	153	S	N	  0	  1	  1	Sloan	Simbad
     132	J151032.12+054252.7	1237655744020022047	227.633845	+05.714656	 0.0840	 0.0001	  9.27	 0.06	 1.73	 0.08	 22	  0	N	N	  1	  1	  1	Sloan	Simbad
     133	J151033.99+054113.9	1237655744020022074	227.641637	+05.687194	 0.0791	 0.0002	  9.29	 0.13	 1.46	 0.10	 52	 51	N	N	  0	  0	  1	Sloan	Simbad
     134	J151036.47+054025.3	1237655744020022111	227.651992	+05.673718	 0.0750	 0.0002	  9.11	 0.17	 2.17	 0.19	 32	123	N	N	  0	  1	  1	Sloan	Simbad
     135	J151045.43+053857.5	1237655744020022245	227.689298	+05.649324	 0.0765	 0.0002	  8.63	 0.19	 1.31	 0.14	120	 67	N	N	  0	  0	  1	Sloan	Simbad
     136	J151046.38+054041.6	1237655744020022247	227.693289	+05.678249	 0.0777	 0.0001	  9.49	 0.16	 2.00	 0.15	 22	   	N	N	  0	  0	  1	Sloan	Simbad
     137	J151046.16+053751.9	1237655744020022261	227.692369	+05.631109	 0.0790	 0.0001	  9.35	 0.08	 1.80	 0.11	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     138	J151048.74+053746.9	1237655744020022293	227.703101	+05.629718	 0.0774	 0.0002	  8.87	 0.20	 1.50	 0.22	159	 97	N	N	  0	  0	  1	Sloan	Simbad
     139	J151053.61+053750.2	1237655744020022366	227.723414	+05.630618	 0.0754	 0.0001	  9.68	 0.11	 2.05	 0.09	 59	 19	N	N	  0	  1	  1	Sloan	Simbad
     140	J151057.80+053842.0	1237655744020086789	227.740840	+05.645011	 0.0788	 0.0002	  9.78	 0.06	 4.25	 1.22	109	 54	N	N	  0	  1	  1	Sloan	Simbad
     141	J151101.04+053756.9	1237655744020086990	227.754356	+05.632483	 0.0791	 0.0001	  9.64	 0.11	 1.77	 0.08	 50	 32	N	N	  1	  1	  1	Sloan	Simbad
     142	J151100.86+053940.8	1237655744020086993	227.753609	+05.661349	 0.0810	 0.0001	 10.91	 0.16	 1.97	 0.04	231	  5	N	N	  1	  1	  1	Sloan	Simbad
     143	J151101.44+053933.9	1237655744020086994	227.756037	+05.659424	 0.0859	 0.0000	  8.97	 0.09	 1.19	 0.02	983	  3	S	N	  1	  1	  1	Sloan	Simbad
     144	J151105.84+053842.2	1237655744020087027	227.774337	+05.645055	 0.0734	 0.0001	 10.13	 0.14	 1.93	 0.04	155	  6	N	N	  1	  1	  1	Sloan	Simbad
     145	J151111.97+053913.7	1237655744020087075	227.799896	+05.653831	 0.0842	 0.0002	 10.45	 0.04	 1.84	 0.06	133	 14	A	N	  1	  1	  1	Sloan	Simbad
     146	J151114.60+053848.3	1237655744020087106	227.810869	+05.646764	 0.0800	 0.0001	 10.28	 0.15	 1.83	 0.08	 89	 18	N	N	  1	  1	  1	Sloan	Simbad
     147	J151114.87+053914.0	1237655744020087108	227.811962	+05.653905	 0.0800	 0.0001	 10.43	 0.15	 1.52	 0.03	 97	 13	S	N	  1	  1	  1	Sloan	Simbad
     148	J151121.51+054120.2	1237655744020087155	227.839657	+05.688951	 0.0723	 0.0000	 10.35	 0.17	 1.88	 0.04	115	  7	N	N	  1	  1	  1	Sloan	Simbad
     149	J151123.71+054119.0	1237655744020087163	227.848807	+05.688612	 0.0806	 0.0001	 10.27	 0.09	 1.82	 0.05	139	 11	N	N	  1	  1	  1	Sloan	Simbad
     150	J151107.94+053906.2	1237655744020087267	227.783092	+05.651746	 0.0745	 0.0001	  9.48	 0.11	 1.79	 0.06	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     151	J151104.81+053955.1	1237655744020087538	227.770054	+05.665314	 0.0832	 0.0002	  8.71	 0.13	 2.11	 0.21	 44	 65	N	N	  0	  1	  1	Sloan	Simbad
     152	J151107.35+054002.3	1237655744020087572	227.780648	+05.667330	 0.0814	 0.0001	  9.38	 0.06	 1.61	 0.07	 32	313	N	N	  1	  1	  1	Sloan	Simbad
     153	J151114.19+054034.6	1237655744020087656	227.809134	+05.676278	 0.0740	 0.0001	  8.57	 0.09	 1.24	 0.04	 23	   	N	Y	  1	  1	  1	Sloan	Simbad
     154	J151038.80+055038.1	1237658780557770980	227.661676	+05.843938	 0.0719	 0.0002	  8.98	 0.12	 1.53	 0.09	 76	 33	N	N	  1	  1	  1	Sloan	Simbad
     155	J151032.10+054758.7	1237658780557771068	227.633755	+05.799654	 0.0810	 0.0001	 10.29	 0.16	 1.77	 0.06	 64	 17	N	N	  1	  1	  1	Sloan	Simbad
     156	J151032.85+054859.7	1237658780557771076	227.636880	+05.816595	 0.0760	 0.0001	 10.40	 0.09	 1.97	 0.04	188	  6	N	N	  1	  1	  1	Sloan	Simbad
     157	J151036.41+055003.7	1237658780557771088	227.651742	+05.834368	 0.0790	 0.0001	 10.00	 0.08	 1.91	 0.05	174	 10	N	N	  1	  1	  1	Sloan	Simbad
     158	J151044.13+055021.1	1237658780557771112	227.683897	+05.839201	 0.0747	 0.0000	 10.14	 0.10	 1.74	 0.04	 61	 12	N	N	  1	  1	  1	Sloan	Simbad
     159	J151026.13+054811.3	1237658780557771281	227.608901	+05.803152	 0.0763	 0.0001	  9.01	 0.14	 1.68	 0.07	 42	 32	N	N	  0	  1	  1	Sloan	Simbad
     160	J151025.96+054715.6	1237658780557771283	227.608175	+05.787685	 0.0805	 0.0001	  9.36	 0.18	 1.49	 0.06	 71	 34	N	N	  1	  1	  1	Sloan	Simbad
     161	J151026.56+054555.2	1237658780557771289	227.610667	+05.765354	 0.0757	 0.0001	  9.10	 0.10	 1.75	 0.07	 40	 34	N	N	  1	  1	  1	Sloan	Simbad
     162	J151028.21+054537.3	1237658780557771310	227.617569	+05.760380	 0.0846	 0.0000	  8.70	 0.11	 1.15	 0.02	142	 32	S	N	  1	  1	  1	Sloan	Simbad
     163	J151030.14+054754.1	1237658780557771313	227.625593	+05.798384	 0.0784	 0.0001	  9.39	 0.14	 2.06	 0.06	 22	  0	N	N	  1	  1	  1	Sloan	Simbad
     164	J151033.58+054702.1	1237658780557771331	227.639931	+05.783941	 0.0773	 0.0001	  8.75	 0.19	 1.87	 0.16	 22	   	N	N	  0	  1	  1	Sloan	Simbad
     165	J151040.79+054932.1	1237658780557771370	227.669984	+05.825590	 0.0706	 0.0002	  9.07	 0.32	 1.47	 0.13	 55	 79	N	N	  0	  1	  1	Sloan	Simbad
     166	J151033.53+054649.6	1237658780557771614	227.639732	+05.780465	 0.0747	 0.0003	  8.33	 0.34	     	     	   	   	N	N	  0	  1	  1	Sloan	Simbad
     167	J151107.01+055157.5	1237662268074033418	227.779242	+05.865974	 0.0797	 0.0001	  9.51	 0.05	 1.76	 0.05	 85	 13	N	N	  1	  1	  1	Sloan	Simbad
     168	J151107.78+055304.6	1237662268074033423	227.782420	+05.884611	 0.0774	 0.0001	 10.72	 0.06	 2.05	 0.04	245	  4	N	N	  1	  1	  1	Sloan	Simbad
     169	J151107.26+055142.5	1237662268074033429	227.780254	+05.861809	 0.0738	 0.0001	  9.81	 0.16	 1.87	 0.05	 95	 10	N	N	  1	  1	  1	Sloan	Simbad
     170	J151109.58+055233.3	1237662268074033449	227.789940	+05.875932	 0.0755	 0.0001	 10.26	 0.06	 2.01	 0.04	127	  6	N	N	  1	  1	  1	Sloan	Simbad
     171	J151109.52+055153.7	1237662268074033451	227.789695	+05.864932	 0.0780	 0.0001	  9.93	 0.13	 1.90	 0.05	 60	 13	N	N	  1	  1	  1	Sloan	Simbad
     172	J151113.09+055312.8	1237662268074033491	227.804548	+05.886899	 0.0809	 0.0001	  9.37	 0.12	 1.28	 0.03	 22	  0	N	Y	  1	  1	  1	Sloan	Simbad
     173	J151112.67+055052.1	1237662268074033499	227.802822	+05.847831	 0.0785	 0.0001	  9.37	 0.07	 1.88	 0.05	116	 11	N	N	  1	  1	  1	Sloan	Simbad
     174	J151115.19+055219.7	1237662268074033510	227.813319	+05.872153	 0.0729	 0.0000	 10.44	 0.06	 2.06	 0.04	149	  3	N	N	  1	  1	  1	Sloan	Simbad
     175	J151116.96+054949.4	1237662268074033525	227.820690	+05.830397	 0.0734	 0.0001	 10.35	 0.06	 1.88	 0.03	175	  4	N	N	  1	  1	  1	Sloan	Simbad
     176	J151117.09+054941.8	1237662268074033526	227.821229	+05.828284	 0.0725	 0.0001	  9.38	 0.05	 1.84	 0.08	 52	 25	N	N	  1	  1	  1	Sloan	Simbad
     177	J151122.39+054906.2	1237662268074033592	227.843308	+05.818397	 0.0746	 0.0001	 10.88	 0.06	 2.01	 0.05	226	 10	N	N	  1	  1	  1	Sloan	Simbad
     178	J151122.49+054910.4	1237662268074033593	227.843719	+05.819566	 0.0743	 0.0001	      	 0.00	 1.91	 0.07	 93	 16	N	N	  1	  1	  1	Sloan	Simbad
     179	J151122.26+054647.1	1237662268074033613	227.842754	+05.779766	 0.0747	 0.0001	  9.89	 0.09	 1.96	 0.04	 98	  7	N	N	  1	  1	  1	Sloan	Simbad
     180	J151125.28+054835.5	1237662268074033620	227.855363	+05.809864	 0.0808	 0.0001	 10.16	 0.09	 1.33	 0.05	307	 60	S	N	  1	  1	  1	Sloan	Simbad
     181	J151127.69+054543.2	1237662268074033646	227.865400	+05.762002	 0.0835	 0.0001	  9.40	 0.08	 1.88	 0.09	103	 27	N	N	  1	  1	  1	Sloan	Simbad
     182	J151129.00+054616.9	1237662268074033655	227.870862	+05.771371	 0.0714	 0.0001	  9.84	 0.08	 1.29	 0.03	 27	 75	S	N	  1	  1	  1	Sloan	Simbad
     183	J151130.39+054650.7	1237662268074033669	227.876647	+05.780759	 0.0809	 0.0001	 10.15	 0.16	 2.00	 0.10	121	 17	N	N	  1	  1	  1	Sloan	Simbad
     184	J151131.92+054635.0	1237662268074033684	227.883034	+05.776400	 0.0770	 0.0001	 10.12	 0.09	 1.98	 0.04	119	  7	N	N	  1	  1	  1	Sloan	Simbad
     185	J151125.38+054908.6	1237662268074033867	227.855773	+05.819063	 0.0789	 0.0000	  9.22	 0.07	 1.23	 0.03	110	 34	S	N	  1	  1	  1	Sloan	Simbad
     186	J151109.43+055112.1	1237662268074034039	227.789292	+05.853369	 0.0752	 0.0001	  9.15	 0.17	 1.85	 0.11	 40	 60	N	N	  0	  1	  1	Sloan	Simbad
     187	J151111.65+055121.8	1237662268074034080	227.798561	+05.856072	 0.0767	 0.0001	  9.54	 0.14	 1.53	 0.10	 22	   	N	N	  1	  1	  1	Sloan	Simbad
     188	J151118.74+054958.2	1237662268074034224	227.828102	+05.832852	 0.0738	 0.0002	  9.10	 0.14	 1.51	 0.09	 26	713	N	N	  1	  1	  1	Sloan	Simbad
     189	J151121.95+055151.7	1237662268074034272	227.841490	+05.864372	 0.0833	 0.0002	  8.54	 0.12	 1.24	 0.07	 38	 82	N	N	  0	  0	  1	Sloan	Simbad
     190	J151124.07+055057.8	1237662268074034338	227.850318	+05.849399	 0.0811	 0.0002	  9.13	 0.17	 1.77	 0.14	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     191	J151123.49+054414.8	1237662268074034373	227.847890	+05.737445	 0.0726	 0.0002	  8.77	 0.17	 1.75	 0.19	 22	560	N	N	  0	  1	  1	Sloan	Simbad
     192	J151126.72+054322.6	1237662268074034422	227.861332	+05.722963	 0.0798	 0.0001	  9.65	 0.12	 1.81	 0.08	 55	 25	N	N	  1	  1	  1	Sloan	Simbad
     193	J151130.35+054629.0	1237662268074034476	227.876495	+05.774733	 0.0812	 0.0002	  8.90	 0.17	 1.43	 0.17	130	 57	N	N	  0	  1	  1	Sloan	Simbad
     194	J151130.81+054349.7	1237662268074034507	227.878398	+05.730480	 0.0751	 0.0002	  9.63	 0.04	 1.71	 0.19	103	 68	N	N	  0	  0	  1	Sloan	Simbad
     195	J151017.34+054204.2	1237655744019956045	227.572279	+05.701190	 0.0781	 0.0001	 10.71	 0.16	 2.02	 0.05	201	  9	N	N	  1	  1	  1	Sloan	Simbad
     196	J151021.51+054156.5	1237655744019956078	227.589637	+05.699049	 0.0790	 0.0001	  9.71	 0.11	 1.79	 0.06	 30	 19	N	N	  1	  1	  1	Sloan	Simbad
     197	J151020.42+053855.8	1237655744019956647	227.585091	+05.648836	 0.0771	 0.0002	  9.60	 0.10	 2.26	 0.23	162	 35	N	N	  1	  1	  1	Sloan	Simbad
     198	J151023.03+053829.5	1237655744020021453	227.595971	+05.641534	 0.0767	 0.0001	 10.02	 0.11	 1.85	 0.09	 64	 26	N	N	  1	  1	  1	Sloan	Simbad
     199	J151028.72+054115.3	1237655744020021486	227.619685	+05.687598	 0.0773	 0.0001	  9.90	 0.09	 1.72	 0.08	 62	 25	N	N	  1	  1	  1	Sloan	Simbad
     200	J151028.69+053817.4	1237655744020021488	227.619569	+05.638179	 0.0779	 0.0001	 10.45	 0.07	 1.85	 0.04	209	  8	N	N	  1	  1	  1	Sloan	Simbad
     201	J151033.56+053804.2	1237655744020021529	227.639849	+05.634512	 0.0749	 0.0001	 10.32	 0.18	 1.98	 0.05	 96	  7	N	N	  1	  1	  1	Sloan	Simbad
     202	J151039.18+053819.2	1237655744020021607	227.663275	+05.638679	 0.0785	 0.0001	  9.77	 0.12	 1.90	 0.05	108	 11	N	N	  1	  1	  1	Sloan	Simbad
     203	J151039.17+053825.2	1237655744020021608	227.663234	+05.640347	 0.0809	 0.0002	  9.46	 0.15	 1.52	 0.10	144	 40	N	N	  0	  0	  1	Sloan	Simbad
     204	J151045.81+053433.1	1237655744020021676	227.690907	+05.575876	 0.0752	 0.0000	  9.55	 0.09	 1.22	 0.03	 35	 41	S	N	  1	  1	  1	Sloan	Simbad
     205	J151046.51+053529.1	1237655744020021686	227.693824	+05.591427	 0.0729	 0.0001	 10.08	 0.10	 1.46	 0.04	 42	 26	S	N	  1	  1	  1	Sloan	Simbad
     206	J151054.87+053620.3	1237655744020021732	227.728639	+05.605657	 0.0789	 0.0001	  9.53	 0.14	 1.19	 0.03	445	 67	S	N	  1	  1	  1	Sloan	Simbad
     207	J151023.11+054339.1	1237655744020021764	227.596297	+05.727552	 0.0800	 0.0001	  9.60	 0.09	 1.76	 0.06	 22	  0	N	N	  1	  1	  1	Sloan	Simbad
     208	J151044.14+053725.8	1237655744020021784	227.683950	+05.623856	 0.0763	 0.0001	  9.72	 0.14	 1.80	 0.06	 61	 16	N	N	  1	  1	  1	Sloan	Simbad
     209	J151030.39+053608.0	1237655744020022056	227.626624	+05.602236	 0.0763	 0.0001	  8.92	 0.14	 1.70	 0.10	 52	 52	N	N	  1	  1	  1	Sloan	Simbad
     210	J151035.67+053656.3	1237655744020022117	227.648635	+05.615647	 0.0795	 0.0002	  9.40	 0.15	 1.54	 0.12	 88	 42	N	N	  1	  1	  1	Sloan	Simbad
     211	J151037.10+053739.2	1237655744020022135	227.654611	+05.627570	 0.0752	 0.0002	  8.72	 0.27	 2.24	 0.42	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
     212	J151042.52+053622.0	1237655744020022214	227.677171	+05.606128	 0.0753	 0.0001	  9.45	 0.14	 1.69	 0.10	 35	 52	N	N	  0	  1	  1	Sloan	Simbad
     213	J151043.60+053426.5	1237655744020022238	227.681670	+05.574028	 0.0747	 0.0002	  8.57	 0.21	 1.43	 0.14	 28	724	N	N	  0	  0	  1	Sloan	Simbad
     214	J151048.38+053541.6	1237655744020022302	227.701603	+05.594896	 0.0765	 0.0001	  9.25	 0.16	 1.75	 0.12	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     215	J151055.10+053331.6	1237655744020086965	227.729610	+05.558798	 0.0792	 0.0001	 11.03	 0.05	 1.92	 0.04	285	  8	N	N	  1	  1	  1	Sloan	Simbad
     216	J151113.14+053618.1	1237655744020087094	227.804755	+05.605045	 0.0736	 0.0001	  9.79	 0.08	 1.82	 0.05	 66	 13	N	N	  1	  1	  1	Sloan	Simbad
     217	J151113.55+053547.8	1237655744020087104	227.806493	+05.596623	 0.0788	 0.0001	 10.52	 0.15	 2.04	 0.05	122	  7	N	N	  1	  1	  1	Sloan	Simbad
     218	J151115.20+053718.8	1237655744020087119	227.813364	+05.621901	 0.0726	 0.0001	  9.87	 0.16	 1.77	 0.10	 22	  0	N	N	  1	  1	  1	Sloan	Simbad
     219	J151116.56+053431.5	1237655744020087129	227.819034	+05.575433	 0.0815	 0.0001	 10.81	 0.14	 1.91	 0.04	228	 10	N	N	  1	  1	  1	Sloan	Simbad
     220	J151125.88+053750.9	1237655744020087200	227.857863	+05.630805	 0.0825	 0.0001	 10.68	 0.05	 1.98	 0.04	151	  5	N	N	  1	  1	  1	Sloan	Simbad
     221	J151121.76+053733.6	1237655744020087295	227.840671	+05.626003	 0.0753	 0.0001	  8.99	 0.15	 1.60	 0.10	 22	   	N	N	  1	  1	  1	Sloan	Simbad
     222	J151123.81+053810.2	1237655744020087296	227.849207	+05.636170	 0.0829	 0.0001	  9.62	 0.16	 1.48	 0.04	 58	 22	N	N	  1	  1	  1	Sloan	Simbad
     223	J151131.99+054306.9	1237655744020087312	227.883330	+05.718595	 0.0740	 0.0001	  9.65	 0.15	 1.82	 0.06	 55	 18	N	N	  1	  1	  1	Sloan	Simbad
     224	J151100.74+053545.2	1237655744020087340	227.753103	+05.595902	 0.0774	 0.0001	  9.49	 0.13	 1.53	 0.09	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     225	J151101.70+053437.8	1237655744020087344	227.757109	+05.577167	 0.0737	 0.0000	  8.39	 0.11	 1.31	 0.08	603	213	S	N	  0	  1	  1	Sloan	Simbad
     226	J151112.57+053445.9	1237655744020087358	227.802383	+05.579439	 0.0816	 0.0001	  8.47	 0.16	 1.16	 0.06	981	  4	S	N	  0	  1	  1	Sloan	Simbad
     227	J151122.39+053547.3	1237655744020087370	227.843320	+05.596477	 0.0744	 0.0001	  9.58	 0.11	 1.28	 0.06	 97	 43	S	N	  1	  1	  1	Sloan	Simbad
     228	J151115.77+053357.3	1237655744020087697	227.815722	+05.565933	 0.0754	 0.0001	  9.46	 0.12	 1.51	 0.11	 24	169	N	N	  1	  1	  1	Sloan	Simbad
     229	J151141.53+054213.5	1237655744020152467	227.923065	+05.703750	 0.0802	 0.0001	 10.64	 0.04	 1.91	 0.07	138	 12	N	N	  1	  1	  1	Sloan	Simbad
     230	J151140.85+053931.1	1237655744020152469	227.920228	+05.658655	 0.0781	 0.0001	  9.90	 0.14	 1.85	 0.04	131	  8	N	N	  1	  1	  1	Sloan	Simbad
     231	J151143.48+054030.3	1237655744020152492	227.931186	+05.675103	 0.0764	 0.0000	  9.83	 0.06	 1.93	 0.06	 58	 17	N	N	  1	  1	  1	Sloan	Simbad
     232	J151135.81+053812.7	1237655744020152924	227.899213	+05.636867	 0.0789	 0.0001	  9.19	 0.10	 1.56	 0.09	 22	  0	N	N	  1	  1	  1	Sloan	Simbad
     233	J151137.54+053756.7	1237655744020152950	227.906441	+05.632432	 0.0788	 0.0002	  9.14	 0.12	 1.56	 0.09	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     234	J151138.45+053806.9	1237655744020152961	227.910235	+05.635249	 0.0761	 0.0001	  9.61	 0.11	 1.77	 0.10	 22	  0	N	N	  1	  1	  1	Sloan	Simbad
     235	J151046.14+055737.2	1237655744556892425	227.692258	+05.960358	 0.0737	 0.0002	  8.86	 0.16	 1.72	 0.10	 87	 36	N	N	  0	  1	  1	Sloan	Simbad
     236	J151049.31+055651.4	1237655744556892430	227.705485	+05.947634	 0.0800	 0.0001	 10.46	 0.18	 1.88	 0.04	 86	  7	N	N	  1	  1	  1	Sloan	Simbad
     237	J151050.32+055730.5	1237655744556892436	227.709671	+05.958480	 0.0807	 0.0003	  8.77	 0.06	 1.44	 0.10	 22	   	N	N	  1	  1	  1	Sloan	Simbad
