#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	f_Name	(A1)	[*] Additional galaxy (G2)	[ucd=meta.code]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	Figure	(a11)	Figure number (2)	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	Notes	(a99)	Additional notes (Arm classifications in table9)	[ucd=meta.note]
#Column	S10	(I3)	Galaxies in S4G catalog version 2 (2013-09) (Sheth et al. 2010, J/PASP/122/1397)	[ucd=meta.ref.url]
#Column	Opt	(I3)	Display the available optical data from Knapen et al. 2014, J/A+A/569/A91, within 30"	[ucd=meta.code]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	f_Name	P1T	P2T	Figure	Simbad	NED	LEDA	<T>	<F>	<Type>	Notes	S10	Opt	AC	_RA	_DE
      90	UGC 891   	 	IAB(s)m:                                     	SAB(s)dm sp                                  	II.1.0076  	Simbad	NED	LEDA	 9.0	 0.50	SAB(s)m: sp                                              	flocculent spiral; highly inclined but not edge-on                                                 	  1	  1	F	020.32954	+12.41172
      91	PGC 90540 	 	Sdm sp                                       	dIm sp                                       	II.1.0077  	Simbad	NED	LEDA	 9.0	     	Sm sp                                                    	                                                                                                   	  1	  1	 	020.34921	-01.86281
      92	NGC 485   	 	SB(r\underline{s})c                          	(R')SAB(s)c                                  	II.1.0078  	Simbad	NED	LEDA	 5.0	 0.75	(R')SA\underline{B}(s)c                                  	grand-design spiral; embedded pattern                                                              	  1	  1	G	020.36497	+07.01806
      93	NGC 488   	 	SA(rl)a                                      	SA(rs,r)0/a                                  	II.1.0079  	Simbad	NED	LEDA	 0.5	 0.00	SA(rs,\underline{r}l)0/\underline{a}                     	multi-armed spiral; (r) circular; (rs) slightly oval                                               	  1	  1	M	020.44520	+05.25672
      94	UGC 903   	 	Sb sp / E(d)4                                	Sa sp / E(d)6                                	II.1.0080  	Simbad	NED	LEDA	 2.0	     	Sab sp / E(d)5                                           	like N4594                                                                                         	  1	  1	 	020.44914	+17.59238
      95	NGC 489   	 	(R)S0^+^ sp                                  	SA(rl)0^+^ sp                                	II.1.0081  	Simbad	NED	LEDA	-1.0	 0.00	(R)SA:(rl:)0^+^ sp                                       	highly inclined but not edge-on                                                                    	  1	  1	 	020.47460	+09.20649
      96	NGC 493   	 	SA(rs)d sp                                   	SA(s)d                                       	II.1.0082  	Simbad	NED	LEDA	 7.0	 0.00	SA(r\underline{s})d sp                                   	multi-armed spiral; highly inclined but not edge-on                                                	  1	  1	M	020.53744	+00.94534
      97	UGC 941   	 	dIm                                          	Im                                           	II.1.0083  	Simbad	NED	LEDA	10.0	     	Im                                                       	                                                                                                   	  1	  1	 	020.88508	+06.96056
      98	NGC 514   	 	S\underline{A}B(s)c                          	SA(s)c                                       	II.1.0084  	Simbad	NED	LEDA	 5.0	 0.12	SA(s)c                                                   	multi-armed spiral                                                                                 	  1	  1	M	021.01627	+12.91735
      99	IC 101    	 	SA(s)a                                       	SA(s)a                                       	II.1.0085  	Simbad	NED	LEDA	 1.0	 0.00	SA(s)a                                                   	extended disk includes subtle diffuse spiral                                                       	  1	  1	 	021.03560	+09.93056
     100	UGC 964   	 	SB(s)dm sp                                   	Sdm sp / E(d)6-7                             	II.1.0086  	Simbad	NED	LEDA	 8.0	 1.00	SB:(s:)dm sp / E(d)6-7                                   	very pointy thick disk                                                                             	  1	  1	 	021.14606	+07.72124
     101	NGC 518   	 	S\underline{A}B(s,nd)0^+^ sp                 	SA(r'l,nd)0^+^                               	II.1.0087  	Simbad	NED	LEDA	-1.0	 0.12	SA(r'l,nd)0^+^ sp                                        	highly inclined but not edge-on                                                                    	  1	  1	 	021.07343	+09.33096
     102	UGC 958   	 	SB(s)m sp                                    	Sd spw                                       	II.1.0088  	Simbad	NED	LEDA	 8.0	 1.00	SB:(s:)dm spw                                            	bent one end; suspect bar                                                                          	  1	  1	 	021.14261	+16.53696
     103	NGC 520   	 	Pec (merger)                                 	Pec (merger)                                 	II.1.0089  	Simbad	NED	LEDA	    	     	Pec (merger)                                             	tidal tails, two centers                                                                           	  1	  1	 	021.14613	+03.79241
     104	NGC 522   	 	S0^o^ sp                                     	SAB_xa spw                                   	II.1.0090  	Simbad	NED	LEDA	-0.5	 0.50	SAB:_x_\underline{0}/a spw                               	excellent thin disk, thick disk, X                                                                 	  1	  1	 	021.19106	+09.99462
     105	NGC 532   	 	SAB_xa_(r)0^+^                               	SAB_xa_(\underline{r}s)0/a                   	II.1.0091  	Simbad	NED	LEDA	-0.5	 0.50	SAB_{xa}_(r)\underline{0}/a                              	clear X and ansae                                                                                  	  1	  1	 	021.32228	+09.26409
     106	PGC 5329  	 	SB(s)m                                       	Im:                                          	II.1.0092  	Simbad	NED	LEDA	 9.5	 1.00	S/Im:                                                    	                                                                                                   	  1	  1	 	021.49158	-03.98172
     107	PGC 5341  	 	SB(s)c sp                                    	SA(s)c sp                                    	II.1.0093  	Simbad	NED	LEDA	 5.0	 0.50	SAB(s)c sp                                               	highly inclined but not edge-on; vhigh surface brightness background                               	  1	  1	 	021.56008	-06.09417
     108	UGC 1014  	 	SAB(s)m                                      	Im                                           	II.1.0094  	Simbad	NED	LEDA	 9.5	 0.50	S/IAB:(s:)m                                              	flocculent spiral; small, close companion                                                          	  1	  1	F	021.59846	+06.27722
     109	ESO 476-10	 	Im: sp                                       	Im sp                                        	II.1.0095  	Simbad	NED	LEDA	10.0	     	Im: sp                                                   	                                                                                                   	  1	  0	 	021.67700	-25.31422
     110	UGC 1020  	 	SB_a0^o^                                     	SAB_a0^o^                                    	II.1.0096  	Simbad	NED	LEDA	-2.0	 0.75	SA\underline{B}_a_0^o^                                   	poorly resolved                                                                                    	  1	  1	 	021.68332	+17.26448
     111	NGC 578   	 	SB(s)cd                                      	SA\underline{B}(s)cd                         	II.1.0097  	Simbad	NED	LEDA	 6.0	 0.88	SB(s)cd                                                  	multi-armed spiral; excellent case                                                                 	  1	  0	M	022.61895	-22.66721
     112	IC 1711   	 	SB_x0/a sp                                   	SAB_x(l:)0^o^                                	II.1.0098  	Simbad	NED	LEDA	-1.0	 0.75	SA\underline{B}_x_0^+^: sp                               	excellent ``tall X                                                                                 	  1	  1	 	022.73028	+17.18848
     113	NGC 584   	 	S\underline{A}B0^-^                          	SA(l)0^-^ /E(d)2                             	I.1.012    	Simbad	NED	LEDA	-3.0	 0.12	SA(l:)0^-^ / E(d)2                                       	isophote twisting                                                                                  	  1	  1	 	022.83648	-06.86806
     114	UGC 1104  	 	dE /Sph                                      	SA(s)d                                       	II.1.0099  	Simbad	NED	LEDA	 7.0	 0.00	SA(s)d / Sph                                             	resembles N7793                                                                                    	  1	  1	 	023.17722	+18.31710
     115	ESO 13-16 	 	SB(rs)cd                                     	SB(rs)cd                                     	II.1.0100  	Simbad	NED	LEDA	 6.0	 1.00	SB(rs)cd                                                 	flocculent spiral                                                                                  	  1	  0	F	023.20167	-79.47389
     116	NGC 600   	 	SB(r\underline{s})d                          	SB(r\underline{s})cd                         	II.1.0101  	Simbad	NED	LEDA	 6.5	 1.00	SB(r\underline{s})c\underline{d}                         	multi-armed spiral; excellent face-on case                                                         	  1	  1	M	023.27205	-07.31141
     117	UGC 1110  	 	SB(s)d sp                                    	SB(s)d                                       	II.1.0102  	Simbad	NED	LEDA	 7.0	 1.00	SB(s)d sp                                                	large extreme late-type spiral                                                                     	  1	  1	 	023.32361	+13.33244
     118	UGC 1112  	 	IB(s)m                                       	SAB(s)m                                      	II.1.0103  	Simbad	NED	LEDA	 9.5	 0.75	S/IA\underline{B}(s)m                                    	                                                                                                   	  1	  1	 	023.32829	+03.07058
     119	NGC 613   	 	SB(\underline{r}s,nr)b                       	SB(\underline{r}s,bl,nr)b                    	II.1.0104  	Simbad	NED	LEDA	 3.0	 1.00	SB(\underline{r}s,bl,nr)b                                	multi-armed spiral; excellent face-on case                                                         	  1	  0	M	023.57598	-29.41849
     120	UGC 1133  	 	dIm                                          	Im                                           	II.1.0105  	Simbad	NED	LEDA	10.0	     	Im                                                       	poorly resolved                                                                                    	  1	  1	 	023.76200	+04.38125
     121	NGC 625   	 	IBm / Sph                                    	IABm                                         	II.1.0106  	Simbad	NED	LEDA	10.0	 0.75	IA\underline{B}m                                         	bar in large extended disk                                                                         	  1	  0	 	023.76930	-41.43620
     122	NGC 615   	 	(R_2_')S\underline{A}B_x(\underline{r}l)a    	(R')SA(r)ab                                  	II.1.0107  	Simbad	NED	LEDA	 1.5	 0.12	(R')SA_x_(r)\underline{a}b                               	multi-armed spiral; (r) excellent                                                                  	  1	  1	M	023.77365	-07.34030
     123	PGC 90553 	 	Sm: sp                                       	dIm sp                                       	II.1.0108  	Simbad	NED	LEDA	 9.5	     	S/Im: sp                                                 	                                                                                                   	  1	  1	 	023.88208	+02.03139
     124	NGC 628   	 	SA(s)c                                       	SA(s)c                                       	I.1.013    	Simbad	NED	LEDA	 5.0	 0.00	SA(s)c                                                   	multi-armed spiral; excellent case                                                                 	  1	  0	M	024.17405	+15.78346
     125	PGC 6048  	 	dIm/dS0 /Sph                                 	Im / Sph                                     	II.1.0109  	Simbad	NED	LEDA	10.0	     	Im / Sph                                                 	                                                                                                   	  1	  1	 	024.49942	-07.56658
     126	UGC 1176  	 	Im                                           	dIm / Sph                                    	I.1.176    	Simbad	NED	LEDA	10.0	     	Im / Sph                                                 	                                                                                                   	  1	  1	 	025.04329	+15.90517
     127	PGC 6190  	 	SA\underline{B}(s)d sp                       	SAB(s)cd                                     	II.1.0110  	Simbad	NED	LEDA	 6.5	 0.62	SAB(s)c\underline{d} sp                                  	highly inclined but not edge-on                                                                    	  1	  1	 	025.11596	-05.52056
     128	PGC 6228  	 	SB(r\underline{s})dm                         	(R'L)SB(r\underline{s})dm                    	II.1.0111  	Simbad	NED	LEDA	 8.0	 1.00	(R'L)SB(r\underline{s})dm                                	multi-armed spiral; large case; bar end-on                                                         	  1	  1	M	025.27962	-05.56811
     129	PGC 6244  	 	SAB(s)m pec                                  	SAB(s)dm                                     	II.1.0112  	Simbad	NED	LEDA	 8.5	 0.50	SAB(s)d\underline{m} pec                                 	flocculent spiral                                                                                  	  1	  0	F	025.40000	-16.14639
     130	NGC 658   	 	SA(r\underline{s})bc                         	SA(rs)bc                                     	II.1.0113  	Simbad	NED	LEDA	 4.0	 0.00	SA(rs)bc                                                 	multi-armed spiral                                                                                 	  1	  1	M	025.54024	+12.60193
     131	UGC 1195  	 	SB(s)m                                       	SABdm                                        	II.1.0114  	Simbad	NED	LEDA	 8.5	 0.75	SA\underline{B}(s:)d\underline{m}                        	flocculent spiral; large extreme late-type                                                         	  1	  1	F	025.61246	+13.97697
