#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:26:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:26:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of data available for this galaxy (apparent magnitudes + velocities + kinematics + distances, in tables 3--6)	[ucd=meta.number]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	a26	(F6.2)	[0.1/645.65]? Major angular diameter (1)	[ucd=phys.angSize]
#Column	b/a	(F5.2)	[0/1]? Apparent axial ratio (1)	[ucd=phys.angSize;arith.ratio]
#Column	AB	(F5.2)	[0.01/7.88]? Galactic extinction in B band (2)	[ucd=phys.absorption.gal]
#Column	l_FUV	(A1)	[>] Lower limit flag on FUV	[ucd=meta.code.error]
#Column	FUV	(F5.2)	[8.21/24.56]? GALEX/FUV band magnitude (3)	[ucd=phot.mag;em.UV]
#Column	Bmag	(F5.2)	[-4.6/21.4]? Apparent integral B band magnitude (4)	[ucd=phot.mag;em.opt.B]
#Column	l_Hamag	(A1)	[>] Lower limit flag on Hamag	[ucd=meta.code.error]
#Column	Hamag	(F5.2)	[3.79/27.87]? Integral H{alpha} line emission magnitude (5)	[ucd=phot.flux;em.line.Halpha]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	f_Kmag	(A1)	[*] Estimated Kmag (7)	[ucd=meta.code]
#Column	l_HImag	(A1)	[>] Lower limit flag on HImag	[ucd=meta.code.error]
#Column	HImag	(F6.2)	[-3.35/21.5]? HI 21cm line magnitude (8)	[ucd=phot.mag;em.radio.750-1500MHz]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	Mcl	(a5)	Dwarf galaxy morphology (BCD, HIcld, Im, Ir, S0em, Sm, Sph, Tr, dE, dEem, or dS0em) (11)	[ucd=src.morph.type]
#Column	Tdw	(A1)	Dwarf galaxy surface brightness morphology (H=high, N=normal, L=low, X=extremely low) (11)	[ucd=meta.code;src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
#Column	A26	(F5.2)	? Major linear diameter (13)	[ucd=phys.size.diameter]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	ABi	(F5.2)	[0/1.25]? Internal B band extinction (15)	[ucd=phys.absorption;em.opt.B]
#Column	BMag	(F5.1)	[-21.8/-0.6]? Absolute B band magnitude (16)	[ucd=phys.magAbs;em.opt.B]
#Column	<Bmu>	(F4.1)	? Average B band surface brightness (17)	[ucd=phot.mag.sb;em.opt.B]
#Column	KLum	(F5.2)	[3.19/11.3]? log(luminosity) in Ks band (18)	[ucd=phys.luminosity;em.IR.K]
#Column	M26	(F5.2)	? log(mass) within Holmberg radius (19)	[ucd=phys.mass]
#Column	l_MHI	(A1)	[<] Upper limit flag on MHI	[ucd=meta.code.error]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti1	(F4.1)	[-3/6.5]? Tidal index {Theta}_1_ (22)	[ucd=src.class.struct]
#Column	MD	(a15)	Main disturber name (23)	[ucd=meta.id.assoc]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
#Column	Tij	(F5.2)	[-2.7/2.4]? Ks-density index {Theta}_j_ (25)	[ucd=src.class.struct]
#Column	K+04	(I3)	Cross-match with the Catalog of neighboring galaxies of Karachentsev et al. (2004, cat. J/AJ/127/2031) within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a29)	Simbad column added by the CDS	[ucd=meta.id]
recno	Name	Nd	RAJ2000	DEJ2000	a26	b/a	AB	l_FUV	FUV	Bmag	l_Hamag	Hamag	Kmag	f_Kmag	l_HImag	HImag	W50	TT	Mcl	Tdw	HRV	Dist	f_Dist	A26	i	vAmp	ABi	BMag	<Bmu>	KLum	M26	l_MHI	MHI	Vlg	Ti1	MD	Ti5	Tij	K+04	SimbadName	NEDname
      42	Bol520            	  5	00 50 42.4	+32 54 59	  0.20	 0.89	 0.37	 	21.90	16.28	 	     	13.31	 	 	      	   	-3	dE   	H	-312	 0.63	TRGB	 0.04	33	   	 0.00	 -8.1	21.3	 5.60	     	 	     	 -64	 2.0	MESSIER031     	 2.1	 1.74	  0	Bol520                       	Bol520
      43	And XIV           	  5	00 51 35.0	+29 41 49	  2.70	 0.68	 0.26	>	23.00	16.90	 	     	12.56	*	>	 16.34	   	-3	Sph  	X	-481	 0.73	TRGB	 0.61	60	   	 0.00	 -7.7	27.6	 6.03	     	<	 5.53	-240	 2.2	MESSIER031     	 2.2	 1.74	  0	And XIV                      	And XIV
      44	And XIII          	  5	00 51 51.0	+33 00 16	  1.30	 0.75	 0.35	>	23.00	18.20	 	     	13.78	*	>	 16.33	   	-3	Sph  	X	-195	 0.84	RR  	 0.35	52	   	 0.00	 -6.8	27.3	 5.66	     	<	 5.65	  53	 2.4	MESSIER031     	 2.4	 1.74	  0	And XIII                     	And XIII
      45	SMC               	  6	00 52 38.0	-72 48 01	380.19	 0.64	 0.17	 	     	 2.70	 	 7.97	 0.16	*	 	  3.20	 90	 9	Im   	N	 158	 0.06	Cep 	 7.09	58	 46	 0.04	-16.5	24.1	 8.85	 9.25	 	 8.65	 -22	 3.3	LMC            	 3.6	 1.74	  1	SMC                          	SMC
      46	And IX            	  6	00 52 52.8	+43 12 00	  4.00	 0.75	 0.33	 	22.62	16.70	 	25.63	12.30	*	>	 16.32	   	-3	Sph  	X	-216	 0.79	TRGB	 1.00	52	   	 0.00	 -8.1	28.2	 6.20	     	<	 5.60	  48	 4.0	MESSIER031     	 4.0	 1.74	  0	And IX                       	And IX
      47	NGC0300           	  8	00 54 53.5	-37 40 57	 25.70	 0.71	 0.06	 	10.34	 8.95	 	13.66	 6.38	 	 	  9.12	147	 7	     	 	 146	 2.15	Cep 	16.05	45	 90	 0.14	-17.9	24.4	 9.43	10.18	 	 9.35	 116	 0.1	NGC0055        	 0.2	 0.24	  1	NGC0300                      	NGC0300
      48	And XVI           	  5	00 59 29.8	+32 22 36	  1.78	 0.90	 0.29	 	20.63	15.70	 	     	11.33	*	>	 16.34	   	-3	Sph  	L	-385	 0.52	TRGB	 0.29	31	   	 0.00	 -8.2	25.5	 6.23	     	<	 5.24	-143	 1.5	MESSIER031     	 1.6	 1.74	  0	And XVI                      	And XVI
      49	Sculptor          	  5	01 00 09.4	-33 42 33	 39.81	 0.68	 0.05	 	22.09	10.05	 	     	 5.90	*	>	 12.12	   	-3	Sph  	X	 105	 0.09	TRGB	 1.04	60	   	 0.00	 -9.8	26.6	 6.86	     	<	 5.39	  91	 2.7	Milky Way      	 2.8	 1.74	  1	SCULPTOR DWARF GALAXY        	SCULPTOR DWARF GALAXY
      50	LGS 3             	  7	01 03 55.0	+21 53 06	  2.40	 0.58	 0.18	 	19.46	15.00	>	26.11	12.49	*	 	 17.35	 18	10	Tr   	L	-286	 0.65	TRGB	 0.46	64	  3	 0.00	 -9.3	25.4	 5.96	 5.62	 	 5.02	 -74	 1.5	MESSIER031     	 1.5	 1.74	  0	LGS 3                        	LGS 3
      51	IC1613            	  7	01 04 47.8	+02 08 00	 19.05	 0.90	 0.11	 	11.64	 9.88	 	14.86	 7.43	*	 	 10.71	 27	10	Ir   	N	-232	 0.73	Cep 	 4.11	29	 13	 0.00	-14.5	24.8	 8.07	 7.88	 	 7.77	 -89	 0.7	MESSIER031     	 0.8	 1.74	  0	IC1613                       	IC1613
      52	And X             	  6	01 06 33.7	+44 48 16	  2.10	 0.56	 0.55	>	23.00	16.70	 	21.90	12.10	*	>	 16.34	   	-3	Sph  	X	-164	 0.63	HB  	 0.45	79	   	 0.00	 -7.9	26.7	 6.10	     	<	 5.40	  95	 2.2	MESSIER031     	 2.2	 1.74	  0	And X                        	And X
      53	UGC00685          	  7	01 07 22.3	+16 41 02	  2.40	 0.71	 0.25	 	16.51	14.22	 	17.97	11.64	*	 	 14.75	 64	 9	BCD  	N	 156	 4.51	TRGB	 3.28	51	 36	 0.00	-14.3	24.6	 7.97	 8.69	 	 7.74	 351	-1.4	NGC0253        	-1.1	     	  1	UGC00685                     	UGC00685
      54	KKH5              	  6	01 07 32.5	+51 26 25	  0.87	 0.62	 1.22	 	     	17.10	 	19.63	13.63	*	 	 16.80	 37	10	Ir   	L	  61	 4.27	TRGB	 1.38	60	 16	 0.00	-12.3	24.7	 7.16	 7.60	 	 6.87	 326	-1.0	Maffei2        	-0.6	-2.24	  1	[KKH2001] 5                  	[KKH2001] 5
      55	AM0106-382        	  7	01 08 22.0	-38 12 33	  0.72	 0.56	 0.05	 	17.37	16.26	 	19.23	13.86	*	 	 16.45	 38	10	Ir   	N	 645	 8.20	TF  	 1.71	66	 15	 0.00	-13.4	24.1	 7.60	 7.68	 	 7.58	 605	-1.7	NGC1291        	-1.4	     	  0	AM0106-382                   	AM0106-382
      56	NGC0404           	  8	01 09 26.9	+35 43 03	  3.47	 0.95	 0.25	 	15.42	11.21	 	15.08	 7.53	 	 	 13.43	 79	-1	S0em 	N	 -50	 3.05	TRGB	 3.25	20	100	 0.02	-16.5	22.4	 9.28	 9.58	 	 7.93	 193	-0.8	Maffei2        	-0.4	     	  1	NGC0404                      	NGC0404
      57	And V             	  5	01 10 17.1	+47 37 41	  2.40	 0.82	 0.54	 	     	15.92	 	24.41	11.33	*	>	 16.34	   	-3	Sph  	L	-403	 0.81	TRGB	 0.66	43	   	 0.00	 -9.2	26.2	 6.62	     	<	 5.62	-143	 2.6	MESSIER031     	 2.6	 1.74	  1	And V                        	And V
      58	And XV            	  4	01 14 18.7	+38 07 03	  1.90	 0.85	 0.20	 	     	15.90	 	     	11.62	*	>	 16.32	   	-3	Sph  	L	-323	 0.76	TRGB	 0.44	39	   	 0.00	 -8.7	25.8	 6.43	     	<	 5.56	 -79	 2.9	MESSIER031     	 2.9	 1.74	  0	And XV                       	And XV
      59	And II            	  6	01 16 29.8	+33 25 09	  2.82	 0.80	 0.27	 	21.67	15.10	 	24.59	10.75	*	>	 16.31	   	-3	Sph  	L	-194	 0.65	TRGB	 0.57	45	   	 0.00	 -9.2	25.9	 6.65	     	<	 5.44	  40	 2.0	MESSIER031     	 2.1	 1.74	  1	And II                       	And II
      60	And XXIV          	  3	01 18 30.0	+46 21 58	  3.30	 0.75	 0.35	 	     	17.20	 	     	12.78	*	 	      	   	-3	Sph  	X	-128	 0.60	HB  	 0.63	52	   	 0.00	 -7.0	28.3	 5.77	     	 	     	 127	 1.9	MESSIER031     	 1.9	 1.74	  0	And XXIV                     	And XXIV
      61	And XXII          	  4	01 27 40.0	+28 05 25	  1.40	 0.44	 0.33	 	22.43	18.80	 	     	14.40	*	 	      	   	-3	Sph  	X	-127	 0.79	TRGB	 0.35	90	   	 0.00	 -6.0	28.0	 5.36	     	 	     	  87	 2.1	MESSIER033     	 2.3	 1.74	  0	And XXII                     	And XXII
      62	UGC01056          	  8	01 28 47.2	+16 41 17	  1.00	 0.68	 0.31	 	17.24	14.81	 	18.17	12.00	 	 	 16.05	 42	 9	Im   	N	 595	 7.30	mem 	 2.24	54	 20	 0.00	-14.8	23.2	 8.25	 8.03	 	 7.64	 774	 1.1	NGC0628        	 1.1	 1.07	  0	UGC01056                     	UGC01056
      63	And XXIII         	  3	01 29 21.8	+38 43 08	  7.30	 0.60	 0.28	 	     	15.10	 	     	10.74	*	 	      	   	-3	Sph  	X	-243	 0.73	TRGB	 1.65	71	   	 0.00	 -9.5	27.9	 6.75	     	 	     	  -6	 2.4	MESSIER031     	 2.5	 1.74	  0	And XXIII                    	And XXIII
      64	UGC01104          	  8	01 32 42.3	+18 18 57	  1.78	 0.60	 0.27	 	16.12	14.48	 	18.25	11.81	 	 	 15.17	 83	 9	BCD  	N	 688	 7.55	BS  	 4.06	62	 41	 0.01	-15.2	24.2	 8.35	 8.90	 	 8.02	 869	 0.5	NGC0628        	 0.5	 1.06	  1	UGC01104                     	UGC01104
      65	MESSIER033        	  8	01 33 50.8	+30 39 37	 69.18	 0.61	 0.18	 	 8.21	 6.27	 	12.20	 4.10	 	 	  7.17	181	 5	     	 	-182	 0.85	Cep 	17.38	54	 99	 0.22	-18.8	23.7	 9.54	10.29	 	 9.32	  34	 1.7	MESSIER031     	 1.7	 1.73	  1	MESSIER033                   	MESSIER033
      66	KKH6              	  8	01 34 51.6	+52 05 30	  0.87	 0.60	 1.52	>	23.00	17.00	 	20.82	13.73	 	 	 17.11	 28	10	Ir   	N	  60	 3.73	TRGB	 1.29	62	  8	 0.00	-12.4	24.5	 7.02	 6.98	 	 6.63	 313	-0.5	Maffei2        	-0.1	 0.97	  1	[KKH2001] 6                  	[KKH2001] 6
      67	NGC0625           	  8	01 35 05.0	-41 26 11	  7.08	 0.28	 0.07	 	13.90	11.59	 	14.69	 8.90	 	 	 13.85	 75	 8	     	 	 395	 3.89	TRGB	 7.73	76	 34	 0.00	-16.4	24.3	 8.93	 9.01	 	 7.97	 325	-0.3	NGC0253        	-0.2	-0.75	  1	NGC0625                      	NGC0625
      68	NGC0628           	  8	01 36 41.3	+15 47 12	 11.22	 0.94	 0.30	 	12.24	 9.79	 	13.63	 6.85	 	 	 11.54	 53	 5	     	 	 657	 7.31	BS  	25.40	20	 64	 0.01	-19.8	23.5	10.31	10.08	 	 9.44	 827	-0.3	UGC01171       	-0.2	-0.54	  1	NGC0628                      	NGC0628
      69	UGC01171          	  7	01 39 41.6	+15 54 11	  1.29	 0.92	 0.25	 	18.77	15.71	 	22.97	13.13	*	 	 15.02	 25	10	Ir   	N	 738	 7.38	BS  	 2.91	26	  8	 0.00	-13.9	24.8	 7.80	 7.39	 	 8.06	 906	 2.2	NGC0628        	 2.2	 1.07	  1	UGC01171                     	UGC01171
      70	DDO013            	  7	01 40 09.6	+15 54 17	  4.57	 0.78	 0.28	 	15.97	14.37	 	17.66	11.76	*	 	 13.97	 35	10	Ir   	L	 631	 9.04	BS  	12.64	44	 18	 0.00	-15.7	26.1	 8.53	 8.68	 	 8.66	 798	-1.4	NGC0628        	-1.2	-1.79	  1	DDO013                       	DDO013
      71	AGC112521         	  6	01 41 07.9	+27 19 26	  0.60	 0.55	 0.27	 	21.08	17.80	 	23.38	15.20	*	 	 17.88	 26	10	Ir   	L	 274	 6.52	h   	 1.18	67	  5	 0.00	-11.5	25.1	 6.87	 6.58	 	 6.81	 476	-0.9	NGC0672        	-0.5	 0.62	  0	AGC112521                    	AGC112521
      72	KK13              	  7	01 42 16.8	+26 22 04	  0.71	 0.57	 0.39	 	19.01	16.57	 	20.78	13.86	*	 	 17.12	 31	10	Ir   	N	 357	 7.20	mem 	 1.58	65	 11	 0.00	-13.1	24.2	 7.49	 7.33	 	 7.20	 556	 0.7	NGC0672        	 1.0	 0.62	  1	[KK98a] 13                   	[KK98a] 13
      73	KDG010            	  7	01 43 41.4	+15 41 23	  1.45	 0.67	 0.32	 	19.78	16.28	 	20.02	13.64	*	 	 16.02	 32	10	Ir   	L	 789	 7.87	BS  	 3.49	55	 13	 0.00	-13.5	25.5	 7.66	 7.81	 	 7.72	 953	 0.0	NGC0628        	 0.0	 1.07	  1	KDG010                       	KDG010
      74	KK14              	  7	01 44 42.7	+27 17 16	  0.79	 0.37	 0.31	 	19.14	17.47	 	21.97	14.84	*	 	 16.22	 28	10	Ir   	L	 420	 7.20	mem 	 1.71	90	  7	 0.00	-12.1	25.4	 7.10	 6.95	 	 7.56	 619	 1.8	NGC0672        	 2.1	 0.62	  1	[KK98a] 14                   	[KK98a] 14
      75	ESO245-005        	  8	01 45 03.6	-43 35 53	  3.80	 0.89	 0.07	 	13.77	12.70	 	16.18	10.26	 	 	 12.62	 60	 9	Im   	N	 393	 4.43	TRGB	 4.95	30	 51	 0.01	-15.6	24.2	 8.50	 9.18	 	 8.58	 307	-0.6	NGC0253        	-0.5	-0.32	  1	ESO245-005                   	ESO245-005
      76	KK15              	  7	01 46 41.6	+26 48 05	  0.59	 0.33	 0.36	 	19.88	18.22	 	22.66	15.54	*	 	 17.50	 22	10	Ir   	L	 366	 7.20	mem 	 1.28	90	  3	 0.00	-11.4	25.4	 6.82	 5.97	 	 7.05	 563	 2.0	IC1727         	 2.2	 0.63	  1	[KK98a] 15                   	[KK98a] 15
      77	IC1727            	  7	01 47 30.1	+27 19 52	  6.92	 0.36	 0.34	 	14.10	12.07	 	16.20	 8.97	*	 	 12.94	129	 8	     	 	 336	 7.20	BS  	14.97	70	 60	 0.21	-17.8	24.4	 9.46	 9.79	 	 8.87	 533	 4.0	NGC0672        	 4.0	 0.42	  1	IC1727                       	IC1727
      78	NGC0672           	  8	01 47 53.2	+27 26 01	  7.24	 0.36	 0.34	 	13.86	11.31	 	15.25	 8.51	 	 	 12.05	205	 6	     	 	 429	 7.20	BS  	15.68	71	 96	 0.44	-18.8	23.5	 9.65	10.22	 	 9.23	 626	 3.8	IC1727         	 3.8	 0.24	  1	NGC0672                      	NGC0672
      79	UGC01281          	  8	01 49 32.3	+32 35 33	  5.62	 0.18	 0.20	 	15.47	12.87	 	17.52	10.50	 	 	 13.75	123	 7	     	 	 157	 4.94	TRGB	 7.88	85	 54	 0.26	-16.1	24.7	 8.52	 9.42	 	 8.22	 367	-1.1	NGC0784        	-0.9	-0.59	  1	UGC01281                     	UGC01281
      80	Phoenix           	  5	01 51 06.3	-44 26 41	  5.50	 0.85	 0.07	 	16.37	13.72	 	     	11.31	*	>	 16.00	   	10	Tr   	L	 -52	 0.44	HB  	 0.71	35	   	 0.00	 -9.6	26.0	 6.08	     	<	 5.22	-145	 0.7	Milky Way      	 0.8	 1.74	  1	Phoenix                      	Phoenix
      81	KK16              	  7	01 55 20.6	+27 57 15	  1.32	 0.37	 0.29	 	18.75	16.30	 	21.30	13.68	*	 	 17.42	 24	10	Ir   	N	 207	 5.47	TRGB	 2.15	90	  3	 0.00	-12.7	25.3	 7.32	 6.19	 	 6.84	 400	-1.5	NGC0784        	-1.1	-0.39	  1	[KK98a] 16                   	[KK98a] 16
      82	KK17              	  8	02 00 09.9	+28 49 57	  1.00	 0.50	 0.24	 	19.69	17.20	 	21.27	14.24	 	 	 17.44	 20	10	Ir   	L	 168	 4.90	TRGB	 1.46	72	  3	 0.00	-11.5	25.6	 7.00	 6.07	 	 6.74	 360	 1.1	NGC0784        	 1.1	-0.36	  1	[KK98a] 17                   	[KK98a] 17
      83	NGC0784           	  8	02 01 16.8	+28 50 37	  6.61	 0.23	 0.26	 	14.42	12.22	 	16.24	10.29	 	 	 13.16	 88	 8	     	 	 193	 4.97	TRGB	 9.52	79	 39	 0.00	-16.5	24.7	 8.60	 9.23	 	 8.46	 385	-0.5	KK17           	-0.4	-0.66	  1	NGC0784                      	NGC0784
      84	UGC1561           	  7	02 04 05.0	+24 12 28	  2.34	 0.86	 0.36	 	17.19	14.51	 	     	11.83	*	 	 16.04	 39	 9	BCD  	N	 606	 7.20	TF  	 5.28	34	 26	 0.00	-15.1	24.8	 8.31	 8.63	 	 7.63	 782	-0.7	NGC0672        	-0.3	 0.61	  0	UGC1561                      	UGC1561
      85	Cas1              	  7	02 06 07.9	+69 00 36	  2.19	 0.77	 4.40	 	     	15.29	 	17.16	 9.34	 	 	 13.15	 50	10	Ir   	N	  35	 3.30	mem 	 5.39	45	 29	 0.00	-16.7	23.3	 8.76	 8.73	 	 8.11	 284	 0.5	IC0342         	 0.7	 1.86	  1	Cas1                         	Cas1
      86	UGC01703          	  5	02 12 55.8	+32 48 51	  0.79	 0.55	 0.42	>	23.00	17.00	 	24.29	12.52	*	>	 18.20	   	-2	Tr   	N	    	 4.19	SBF 	 1.05	72	   	 0.00	-11.5	24.9	 7.56	     	<	 6.30	    	-1.3	Maffei2        	-0.8	-0.38	  0	UGC01703                     	UGC01703
      87	NGC0855           	  8	02 14 03.7	+27 52 38	  3.09	 0.38	 0.31	 	16.52	13.30	 	16.70	 9.83	 	 	 14.64	 94	 0	dS0em	N	 591	 9.73	SBF 	 8.91	85	 41	 0.02	-17.0	24.1	 9.37	 9.24	 	 8.45	 770	-1.0	NGC0925        	-0.7	     	  1	NGC0855                      	NGC0855
      88	Segue 2           	  4	02 19 16.0	+20 10 31	  5.40	 0.85	 0.81	 	21.01	16.20	 	     	11.36	*	 	      	   	-3	Sph  	X	 -39	 0.03	TRGB	 0.07	39	   	 0.00	 -2.3	28.2	 3.88	     	 	     	 112	 3.8	Milky Way      	 3.8	 1.74	  0	NAME Segue 2                 	NAME Segue 2
      89	NGC0891           	  8	02 22 32.8	+42 20 48	 13.18	 0.29	 0.28	 	15.15	10.71	 	15.56	 5.94	 	 	 11.68	456	 3	     	 	 526	 9.77	SBF 	37.89	82	218	 1.02	-20.5	23.7	10.96	11.32	 	 9.64	 736	-0.9	NGC1023        	-0.5	-0.09	  1	NGC0891                      	NGC0891
      90	KKH11             	  7	02 24 35.0	+56 00 42	  1.66	 0.54	 2.13	 	     	16.20	 	19.11	11.74	 	 	 14.06	 84	10	Ir   	N	 296	 3.00	mem 	 2.24	68	 40	 0.00	-13.3	24.7	 7.64	 8.61	 	 7.66	 528	 1.3	Maffei1        	 1.7	 1.86	  1	[KKH2001] 11                 	[KKH2001] 11
      91	[KK2000] 03       	  5	02 24 42.7	-73 30 46	  2.45	 0.40	 0.22	>	23.00	16.00	 	     	10.83	 	>	 18.20	   	-3	Tr   	L	    	 4.10	mem 	 3.01	90	   	 0.00	-12.3	26.4	 8.21	     	<	 6.28	    	-0.8	NGC1313        	-0.6	 0.27	  1	[KK2000] 03                  	[KK2000] 03
      92	DDO019            	  7	02 25 00.2	+36 02 16	  2.14	 0.76	 0.30	 	16.62	15.80	 	18.19	13.14	*	 	 14.87	 87	10	Ir   	L	 577	 9.30	mem 	 6.10	46	 53	 0.04	-14.4	25.9	 8.00	 9.30	 	 8.32	 771	 0.3	NGC0925        	 0.5	 1.05	  0	DDO019                       	DDO019
      93	d0226+3325        	  6	02 26 52.8	+33 25 37	  1.66	 0.92	 0.32	 	     	17.50	 	25.32	14.86	*	 	 15.67	 40	10	Ir   	X	 520	 9.30	mem 	 4.80	26	 36	 0.00	-12.7	27.1	 7.32	 8.85	 	 8.00	 705	 3.7	NGC0925        	 3.7	 1.03	  0	[KKH2007] dJ0226+3325        	[KKH2007] dJ0226+3325
      94	NGC0925           	  8	02 27 16.0	+33 34 41	 11.75	 0.56	 0.33	 	12.72	10.58	 	14.11	 7.87	 	 	 11.73	203	 7	     	 	 553	 9.29	Cep 	33.32	57	107	 0.28	-19.9	24.1	10.12	10.65	 	 9.58	 738	 0.9	d0226+3325     	 1.0	 0.53	  1	NGC0925                      	NGC0925
      95	Halogas           	  6	02 27 20.0	+33 57 30	  0.43	 0.75	 0.33	 	19.99	18.00	 	     	15.35	*	 	 17.87	 28	10	Ir   	L	 528	 9.30	mem 	 1.23	47	 10	 0.00	-12.2	24.6	 7.12	 7.12	 	 7.12	 714	 2.8	NGC0925        	 2.8	 1.03	  0	                             	
      96	KKH12             	  7	02 27 27.0	+57 29 16	  1.70	 0.29	 3.44	 	     	17.80	 	19.13	11.79	 	 	 15.13	 48	10	Ir   	L	  70	 3.00	mem 	 2.97	90	 20	 0.00	-13.0	25.7	 7.67	 8.14	 	 7.23	 303	 1.9	Maffei1        	 2.1	 1.86	  1	[KKH2001] 12                 	[KKH2001] 12
      97	DDO022            	  7	02 32 54.0	+38 40 50	  1.74	 0.31	 0.21	 	18.30	15.65	 	19.64	13.11	*	 	 15.54	 52	10	Ir   	N	 570	 9.30	mem 	 4.69	90	 22	 0.00	-14.4	25.3	 8.01	 8.41	 	 8.05	 765	 0.2	NGC0891        	 0.4	 1.79	  0	DDO022                       	DDO022
      98	DDO025            	  7	02 33 18.2	+33 29 28	  2.57	 0.92	 0.41	 	15.90	13.96	 	17.50	10.98	*	 	 14.65	 36	 8	     	 	 604	 9.30	mem 	 7.57	23	 33	 0.00	-16.3	24.4	 8.87	 8.97	 	 8.41	 785	 1.2	NGC0925        	 1.2	 1.01	  0	DDO025                       	DDO025
      99	DDO024            	  6	02 33 43.0	+40 31 41	  2.62	 0.81	 0.24	 	     	13.68	 	18.42	10.86	*	 	 13.97	 48	 8	     	 	 581	 9.80	mem 	 7.80	36	 33	 0.00	-16.5	24.3	 8.96	 9.00	 	 8.73	 780	 1.0	NGC0891        	 1.0	 1.73	  0	DDO024                       	DDO024
     100	MB1               	  7	02 35 35.6	+59 22 47	  1.07	 0.42	 4.22	 	     	17.80	 	19.79	10.46	 	 	 15.05	 50	10	Ir   	L	 190	 3.00	mem 	 2.25	87	 21	 0.00	-13.8	24.3	 8.23	 8.04	 	 7.27	 421	 4.6	Maffei1        	 4.6	 1.86	  1	[MB95] 1                     	[MB95] 1
     101	Maffei1           	  5	02 36 35.5	+59 39 18	  2.69	 0.85	 5.05	 	     	13.47	>	21.40	 5.55	 	 	      	   	-3	     	 	  66	 3.01	FP  	10.48	39	   	 0.00	-19.0	22.4	10.22	     	 	     	 298	 2.6	MB1            	 2.6	 1.80	  1	Maffei1                      	Maffei1
