#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T06:08:59 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T06:08:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F661%2FA7%2Ftable2&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610007
#Name: J/A+A/661/A7
#Title: X-ray properties of eFEDS clusters and groups (Bahar+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	creator=Bahar Y.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...7B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A7	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610007	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A7_table2:
#Name: J/A+A/661/A7/table2
#Title: X-ray observable measurements of eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A15)	Cluster ID (HHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	ID-SRC	(I5)	Unique source ID	[ucd=meta.id]
#Column	RAJ2000	(F8.4)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	ExtLike	(F5.1)	Extent likelihood	[ucd=stat.likelihood]
#Column	DetLike	(F6.1)	Detection likelihood	[ucd=stat.likelihood]
#Column	z	(F6.3)	Redshift	[ucd=src.redshift]
#Column	R500	(F6.3)	R500	[ucd=phys.angSize;src]
#Column	T500	(F6.3)	Temperature within R500	[ucd=phys.temperature]
#Column	e_T500	(F6.3)	Minus side error bar on T500	[ucd=stat.error]
#Column	E_T500	(F6.3)	Plus side error bar on T500	[ucd=stat.error;stat.max]
#Column	l_Lx500	(A1)	Limit flag on Lx500	[ucd=meta.code.error]
#Column	Lx500	(F7.3)	Soft band lumin within R500 (in 10^42^erg/s)	[ucd=phys.luminosity;em.X-ray]
#Column	e_Lx500	(F7.3)	? Minus side error bar on Lx500	[ucd=stat.error]
#Column	E_Lx500	(F8.3)	? Minus side error bar on Lx500	[ucd=stat.error;stat.max]
#Column	l_Lbol500	(A1)	Limit flag on Lbol500	[ucd=meta.code.error]
#Column	Lbol500	(F8.3)	Bolometric lumin within R500	[ucd=phys.luminosity]
#Column	e_Lbol500	(F8.3)	? Minus side error bar on Lbol500	[ucd=stat.error]
#Column	E_Lbol500	(F8.3)	? Plus side error bar on Lbol500	[ucd=stat.error;stat.max]
#Column	l_Mgas500	(A1)	Limit flag on Mgas500	[ucd=meta.code.error]
#Column	Mgas500	(F7.4)	Gas mass within R500	[ucd=phys.mass]
#Column	e_Mgas500	(F8.4)	? Minus side error bar on Mgas500	[ucd=stat.error]
#Column	E_Mgas500	(F8.4)	? Plus side error bar on Mgas500	[ucd=stat.error;stat.max]
#Column	l_Yx500	(A1)	Limit flag on Yx500	[ucd=meta.code.error]
#Column	Yx500	(F9.4)	Yx (gas mass times mean X-ray spectral temperature) within R500	[ucd=arith.factor;pos.distance]
#Column	e_Yx500	(F9.4)	? Minus side error bar on Yx500	[ucd=stat.error]
#Column	E_Yx500	(F9.4)	? Plus side error bar on Yx500	[ucd=stat.error;stat.max]
#Column	Tcex500	(F6.3)	Temperature within 0.15*R500-R500	[ucd=phys.temperature]
#Column	e_Tcex500	(F6.3)	Minus side error bar on Tcex500	[ucd=stat.error]
#Column	E_Tcex500	(F6.3)	Plus side error bar on Tcex500	[ucd=stat.error;stat.max]
#Column	l_Lxcex500	(A1)	Limit flag on Lxcex500	[ucd=meta.code.error]
#Column	Lxcex500	(F7.3)	Soft band lumin within 0.15*R500-R500	[ucd=phys.luminosity;em.X-ray]
#Column	e_Lxcex500	(F7.3)	? Minus side error bar on Lxcex500	[ucd=stat.error]
#Column	E_Lxcex500	(F8.3)	? Plus side error bar on Lxcex500	[ucd=stat.error;stat.max]
#Column	l_Lbolcex500	(A1)	Limit flag on Lbolcex500	[ucd=meta.code.error]
#Column	Lbolcex500	(F11.3)	Bolometric lumin within 0.15*R500-R500	[ucd=phys.luminosity]
#Column	e_Lbolcex500	(F7.2)	? Minus side error bar on Lbolcex500	[ucd=stat.error]
#Column	E_Lbolcex500	(F8.3)	? Plus side error bar on Lbolcex500	[ucd=stat.error;stat.max]
#Column	Texp	(I4)	Vignetted exposure at cluster center	[ucd=time.expo]
recno	ID	ID-SRC	RAJ2000	DEJ2000	ExtLike	DetLike	z	R500	T500	e_T500	E_T500	l_Lx500	Lx500	e_Lx500	E_Lx500	l_Lbol500	Lbol500	e_Lbol500	E_Lbol500	l_Mgas500	Mgas500	e_Mgas500	E_Mgas500	l_Yx500	Yx500	e_Yx500	E_Yx500	Tcex500	e_Tcex500	E_Tcex500	l_Lxcex500	Lxcex500	e_Lxcex500	E_Lxcex500	l_Lbolcex500	Lbolcex500	e_Lbolcex500	E_Lbolcex500	Texp
     235	085913.1+031334	  485	134.8048	+03.2263	 15.9	  16.8	 0.189	 2.980	 2.340	 0.780	 3.250	 	 13.100	  2.000	   2.100	 	  34.100	   6.800	  13.100	 	 3.7900	  0.6600	  0.7400	 	   9.2000	   3.7000	  12.1000	 1.780	 0.390	 0.840	 	  6.700	  1.600	   1.300	 	     15.600	   4.00	   4.100	1210
     236	085931.9+030839	  360	134.8830	+03.1443	175.1	 617.4	 0.196	 4.648	 2.500	 0.310	 0.590	 	 41.300	  2.000	   2.300	 	 106.000	   7.600	   8.000	 	14.4000	  1.1000	  1.1000	 	  36.0000	   5.4000	   9.0000	 2.690	 0.690	 0.900	 	 24.800	  2.000	   2.200	 	     65.100	   6.80	   9.200	1211
     237	085939.1-004932	 6894	134.9133	-00.8258	 10.9	   8.2	 0.812	 1.369	 1.240	 0.450	 0.760	 	 63.000	 17.000	  38.000	 	 138.000	  27.000	  66.000	 	11.8000	  2.0000	  3.1000	 	  14.3000	   4.2000	  10.6000	 1.220	 0.420	 0.910	 	 57.000	 16.000	  31.000	 	    124.000	  27.00	  44.000	2238
     238	085948.9+041120	 1350	134.9539	+04.1889	 22.6	  43.0	 0.208	 3.177	 1.690	 0.220	 0.490	 	 13.700	  1.600	   1.500	 	  31.600	   3.800	   4.000	 	 4.8400	  0.6500	  0.8100	 	   8.4000	   1.7000	   2.9000	 1.580	 0.180	 0.320	 	  7.800	  1.300	   1.700	 	     17.800	   3.20	   3.900	1212
     239	085950.1-001221	 4539	134.9589	-00.2058	 16.9	  35.1	 0.427	 0.494	 5.100	 2.600	 5.800	 	 11.800	  2.000	   3.100	 	  41.000	  11.000	  22.000	 	 0.7300	  0.1300	  0.3300	<	  15.0000	         	         	13.700	 9.100	12.200	 	 10.300	  1.700	   2.600	 	     61.000	  26.00	  33.000	1306
     240	085954.2-013308	13823	134.9758	-01.5524	  6.5	  16.4	 0.577	 1.464	10.200	 6.200	11.100	 	 15.600	  5.600	   8.600	 	  76.000	  33.000	  59.000	<	 5.4000	        	        	<	  64.0000	         	         	 8.800	 5.100	13.400	<	 12.000	       	        	<	     60.000	       	        	2033
     241	090004.3+033324	 7945	135.0183	+03.5568	 11.8	  30.8	 0.698	 1.570	 4.500	 2.000	 6.900	 	 47.900	 10.000	  12.200	 	 164.000	  40.000	  95.000	 	12.3000	  2.8000	  2.1000	 	  55.0000	  24.0000	  86.0000	 6.800	 4.200	13.900	 	 37.900	 10.000	  11.500	 	    151.000	  49.00	 114.000	1203
     242	090010.4+023631	10878	135.0435	+02.6086	 12.9	  23.6	 0.200	 2.781	 2.290	 0.560	 1.220	 	  4.590	  0.980	   1.330	 	  11.700	   2.700	   3.900	 	 2.6900	  0.5800	  0.7200	 	   6.4000	   2.1000	   3.6000	 3.100	 1.200	 4.200	 	  3.610	  0.950	   1.220	 	     10.500	   3.30	   5.700	1211
     243	090020.8-002602	 1315	135.0867	-00.4340	 17.9	 184.8	 0.490	 2.091	 2.960	 0.740	 2.300	<	 41.000	       	        	<	 120.000	        	        	<	12.0000	        	        	<	  50.0000	         	         	 3.600	 1.400	 5.900	<	 25.000	       	        	<	     89.000	       	        	1476
     244	090033.7+033932	 2407	135.1408	+03.6591	 25.2	 119.6	 0.809	 1.690	 3.500	 1.000	 2.100	 	 73.000	 28.000	  29.000	 	 225.000	  87.000	  99.000	 	17.3000	  5.2000	  4.9000	 	  59.0000	  21.0000	  43.0000	 3.090	 0.820	 1.850	 	 68.000	 25.000	  27.000	 	    198.000	  71.00	  78.000	1207
     245	090034.1-010649	 1652	135.1422	-01.1137	 15.4	  29.8	 0.273	 2.651	 2.940	 0.880	 1.990	 	 11.100	  1.200	   1.300	 	  30.200	   4.300	   7.600	 	 5.9400	  0.7500	  0.8500	 	  17.4000	   5.4000	  12.2000	 3.200	 1.000	 3.400	 	  9.100	  1.200	   1.200	 	     26.000	   4.50	   9.900	3253
     246	090044.6-011104	 8508	135.1862	-01.1845	  8.1	   6.3	 0.430	 1.825	16.500	 6.100	11.400	 	  3.000	  1.300	   1.300	 	  19.400	   8.600	  12.700	<	 3.1000	        	        	<	  55.0000	         	         	21.700	10.100	 6.700	<	  2.600	       	        	<	     19.000	       	        	3240
     247	090051.6-003457	 9834	135.2152	-00.5826	  6.0	  13.7	 0.350	 1.787	 3.200	 1.300	 4.000	 	  7.500	  1.900	   2.700	 	  22.300	   6.600	  13.500	 	 3.5300	  0.6400	  0.8900	 	  11.4000	   4.9000	  15.5000	 4.200	 2.000	 5.800	 	  6.100	  1.500	   2.600	 	     20.500	   6.80	  13.900	1585
     248	090053.0-002837	 9310	135.2212	-00.4772	 15.8	  27.0	 0.295	 2.190	 1.210	 0.120	 0.190	 	  7.200	  1.600	   1.900	 	  15.000	   3.300	   4.100	 	 2.9700	  0.6900	  0.7400	 	   3.6300	   0.9400	   1.3600	 1.290	 0.220	 0.380	 	  5.200	  1.400	   1.500	 	     11.000	   3.00	   3.700	1571
     249	090059.3+035925	  983	135.2471	+03.9905	 43.2	 230.7	 0.412	 2.490	11.000	 4.900	 7.800	 	 49.800	  5.700	   5.800	 	 257.000	  67.000	 110.000	 	11.9000	  2.6000	  2.8000	 	 126.0000	  58.0000	 114.0000	10.500	 6.000	13.400	 	 26.700	  5.500	   5.300	 	    130.000	  44.00	  85.000	1202
     250	090104.4+011643	 3171	135.2686	+01.2788	 38.0	  62.8	 0.251	 3.247	 2.750	 0.690	 1.910	 	 19.200	  2.100	   1.900	 	  51.100	   7.000	  11.200	 	 8.2000	  1.3000	  1.2000	 	  22.7000	   6.6000	  15.8000	 2.270	 0.500	 1.590	 	 14.300	  1.800	   1.800	 	     36.500	   5.50	   8.200	1230
     251	090105.2-012525	11836	135.2718	-01.4237	 17.8	  29.4	 0.405	 2.178	 8.200	 4.200	10.900	 	 18.000	  2.300	   2.300	 	  79.000	  23.000	  51.000	 	 9.0000	  1.3000	  1.5000	<	 300.0000	         	         	 7.600	 3.400	11.500	 	 15.900	  2.300	   2.100	 	     68.000	  19.00	  43.000	2274
     252	090115.3+005040	 8881	135.3140	+00.8445	 10.1	  28.9	 0.312	 2.077	 2.390	 0.520	 1.020	 	 15.300	  2.100	   2.500	 	  39.400	   6.100	   7.500	 	 5.6800	  0.8600	  0.9600	 	  13.8000	   3.7000	   6.5000	 3.200	 1.000	 2.700	 	 13.100	  2.100	   2.100	 	     37.300	   6.90	  11.600	1371
     253	090119.0+030204	 7017	135.3294	+03.0345	 24.7	  22.7	 0.193	 2.660	 4.300	 1.200	 2.700	<	  9.400	       	        	<	  33.000	        	        	<	 4.7000	        	        	<	  23.0000	         	         	 4.100	 1.200	 5.300	<	  8.000	       	        	<	     30.000	       	        	1203
     254	090121.9-003709	 1600	135.3414	-00.6194	  9.8	  24.8	 0.555	 1.778	15.500	 9.100	12.600	 	 36.800	  9.300	  18.300	 	 237.000	  91.000	 154.000	 	 9.7000	  4.0000	  2.8000	<	 420.0000	         	         	14.500	 9.100	 9.800	<	 54.000	       	        	<	    350.000	       	        	1611
     255	090129.1-013853	 1104	135.3715	-01.6483	 86.6	 274.4	 0.311	 3.794	 6.100	 2.000	 5.800	 	167.000	 14.000	  14.000	 	 630.000	 120.000	 290.000	 	44.9000	  4.9000	  5.2000	 	 271.0000	  92.0000	 295.0000	 8.300	 3.000	 7.200	 	135.000	 12.000	   8.000	 	    590.000	 130.00	 250.000	 967
     256	090131.1+030056	  152	135.3800	+03.0157	373.9	1266.7	 0.193	 5.184	 4.120	 0.650	 1.020	 	 71.300	  6.900	   5.300	 	 219.000	  24.000	  28.000	 	23.1000	  3.0000	  2.8000	 	  95.0000	  19.0000	  27.0000	 4.200	 0.730	 1.380	 	 45.800	  7.200	   5.400	 	    145.000	  24.00	  26.000	1210
     257	090133.2+021651	 4181	135.3886	+02.2809	 28.2	  31.2	 0.354	 2.168	 3.100	 1.000	 2.700	 	 19.400	  3.400	   3.300	 	  56.000	  11.000	  18.000	 	 7.8000	  1.2000	  1.4000	 	  24.6000	   8.5000	  23.0000	 4.200	 1.700	 7.100	 	 16.300	  2.700	   3.100	 	     53.000	  13.00	  33.000	1210
     258	090133.5-010540	10870	135.3898	-01.0946	 11.8	  28.3	 0.270	 2.016	 2.420	 0.800	 4.020	 	  3.800	  0.930	   1.240	 	  10.200	   2.900	   4.900	 	 1.9200	  0.6100	  0.5900	 	   4.7000	   2.0000	   7.5000	 2.390	 0.820	 2.560	 	  2.520	  0.930	   1.330	 	      6.800	   2.70	   4.100	2655
     259	090137.7+030253	15914	135.4072	+03.0483	  6.4	  11.0	 0.188	 2.730	 5.000	 1.300	 1.500	<	  3.700	       	        	<	  13.000	        	        	<	 2.8000	        	        	<	  15.0000	         	         	 4.520	 0.950	 1.740	<	  3.200	       	        	<	     10.000	       	        	1204
     260	090140.9-012132	 2412	135.4207	-01.3591	 20.4	  43.8	 0.295	 2.511	 2.200	 0.400	 0.630	 	 17.600	  2.200	   2.000	 	  43.400	   5.800	   5.700	 	 7.9000	  1.1000	  1.2000	 	  17.6000	   4.0000	   5.6000	 2.080	 0.340	 0.900	 	 15.700	  2.400	   1.800	 	     38.400	   5.70	   5.700	2149
     261	090144.7+040827	 3199	135.4366	+04.1408	 22.8	  92.6	 0.844	 1.606	 3.100	 1.100	 1.800	 	138.000	 25.000	  29.000	 	 389.000	  63.000	  84.000	 	21.3000	  3.3000	  3.8000	 	  65.0000	  22.0000	  42.0000	 2.210	 0.410	 1.040	 	106.000	 26.000	  26.000	 	    266.000	  67.00	  66.000	1211
     262	090146.2-013756	 4232	135.4427	-01.6322	 22.3	  63.0	 0.295	 2.983	 1.820	 0.370	 0.510	 	 18.700	  5.200	   3.300	 	  43.400	  11.500	   8.600	 	 4.7000	  2.0000	  1.5000	 	   8.2000	   3.5000	   4.9000	 1.730	 0.370	 1.330	<	 14.000	       	        	<	     35.000	       	        	 605
     263	090153.9-012209	 2048	135.4748	-01.3694	 87.9	 163.9	 0.295	 2.858	 2.170	 0.330	 0.580	 	 19.800	  2.600	   2.500	 	  48.900	   6.500	   6.800	 	 7.6700	  0.7800	  0.8500	 	  16.9000	   3.1000	   4.8000	 2.140	 0.330	 0.580	 	 13.600	  2.500	   2.900	 	     33.700	   6.20	   6.900	2016
     264	090200.5+022339	 3800	135.5024	+02.3943	 36.2	  95.4	 0.202	 3.222	 2.620	 0.560	 1.040	 	 14.300	  1.300	   1.100	 	  37.200	   4.100	   5.200	 	 5.9900	  0.6900	  0.7500	 	  15.8000	   3.8000	   6.6000	 2.510	 0.540	 1.180	 	 10.600	  1.200	   1.000	 	     27.500	   3.70	   4.900	1211
     265	090210.6+032513	  431	135.5445	+03.4204	 10.0	  14.8	 0.535	 1.600	13.600	 9.000	11.300	<	 64.000	       	        	<	 470.000	        	        	<	 3.5000	        	        	<	  45.0000	         	         	11.000	 7.100	11.700	<	  4.800	       	        	<	     23.000	       	        	1205
     266	090223.3+015205	 6840	135.5974	+01.8682	  6.7	  43.2	 0.561	 1.657	 4.800	 2.600	14.600	 	 16.200	  4.500	   6.200	 	  58.000	  20.000	  50.000	<	 4.3000	        	        	<	  60.0000	         	         	 1.750	 0.840	 9.050	<	 11.000	       	        	<	     33.000	       	        	1376
     267	090224.4-005150	 9893	135.6020	-00.8641	 11.4	  24.0	 0.409	 1.979	16.100	11.400	 9.500	 	 11.300	  2.700	   3.900	 	  69.000	  32.000	  40.000	 	 5.0000	  1.9000	  1.7000	<	 210.0000	         	         	 7.700	 4.800	11.800	 	  7.600	  2.800	   4.500	 	     33.000	  15.00	  27.000	1560
     268	090248.5+044005	 4121	135.7022	+04.6681	 52.1	  83.7	 0.226	 3.405	 2.420	 0.440	 0.630	 	  6.500	  1.300	   2.100	 	  16.700	   3.700	   5.300	 	 2.3500	  0.7100	  1.2000	 	   5.8000	   2.1000	   3.4000	 3.110	 0.740	 4.430	 	  2.600	  1.000	   1.800	 	      8.100	   3.30	   5.800	1033
     269	090255.2+030220	 5489	135.7300	+03.0389	 48.9	  66.8	 0.200	 3.406	 1.740	 0.180	 0.460	 	 12.900	  1.200	   1.100	 	  29.800	   2.700	   3.300	 	 6.4100	  0.6900	  0.8700	 	  11.3000	   1.8000	   3.2000	 1.960	 0.260	 0.690	 	 10.400	  0.810	   1.400	 	     25.100	   2.40	   3.700	1217
     270	090255.5+044036	 4348	135.7317	+04.6767	  7.8	  40.2	 0.484	 1.912	 4.100	 1.200	 4.200	 	 56.000	 12.000	  10.000	 	 176.000	  36.000	  73.000	 	13.4000	  2.3000	  2.4000	 	  54.0000	  18.0000	  60.0000	 4.800	 1.800	 7.300	 	 42.200	 11.200	   8.400	 	    144.000	  39.00	  73.000	1004
     271	090256.2+014625	 5655	135.7345	+01.7737	 13.3	  37.9	 0.118	 3.248	 2.160	 0.430	 0.670	 	  1.940	  0.360	   0.240	 	   4.760	   0.900	   0.800	 	 1.0200	  0.2000	  0.2400	 	   2.2400	   0.6500	   0.9400	 2.220	 0.490	 0.890	 	  1.390	  0.300	   0.270	 	      3.490	   0.82	   0.780	1497
     272	090257.4+004819	 1712	135.7395	+00.8055	 11.6	  47.6	 0.521	 0.424	 2.160	 0.930	 4.940	 	 16.100	  3.400	   4.700	 	  42.000	  10.000	  19.000	 	 0.8000	  0.1500	  0.2600	 	   1.8100	   0.8700	   3.8900	 1.710	 0.420	 1.060	 	 12.800	  3.900	   3.900	 	     30.200	   9.00	   9.500	1598
     273	090323.7+030738	 2083	135.8489	+03.1273	 44.7	 118.6	 0.407	 2.490	 6.500	 2.900	 7.200	 	 60.300	  6.400	   6.600	 	 234.000	  56.000	 118.000	 	18.4000	  2.1000	  2.2000	 	 118.0000	  54.0000	 144.0000	 4.400	 1.700	 5.700	 	 46.900	  6.800	   5.800	 	    152.000	  30.00	  70.000	1279
     274	090327.2+032545	 4771	135.8634	+03.4294	 14.6	  47.9	 0.364	 2.238	 1.540	 0.260	 0.450	 	 19.900	  3.100	   2.900	 	  44.300	   7.100	   7.100	 	 6.2000	  1.4000	  1.2000	 	   9.6000	   2.8000	   3.7000	 1.460	 0.260	 0.480	 	 12.800	  2.800	   3.000	 	     28.000	   6.20	   7.000	1242
     275	090328.7-013622	 4487	135.8697	-01.6062	 70.8	  99.5	 0.443	 2.781	 5.100	 2.100	 5.800	 	 41.000	 16.000	  22.000	 	 148.000	  57.000	 103.000	 	17.9000	  7.7000	  6.5000	<	 310.0000	         	         	 4.300	 1.300	 4.000	<	 70.000	       	        	<	    280.000	       	        	 923
     276	090333.8+043950	 9404	135.8909	+04.6640	 24.2	  24.6	 0.222	 2.840	 1.800	 0.710	 1.250	 	  7.440	  1.090	   0.910	 	  17.300	   3.500	   3.900	 	 3.3000	  0.7900	  0.7000	<	  16.0000	         	         	 1.240	 0.380	 0.860	 	  5.600	  1.300	   1.100	 	     11.800	   3.00	   3.100	 946
     277	090335.0+022006	 8941	135.8959	+02.3351	  6.4	  15.4	 0.345	 1.835	 7.500	 4.600	12.700	 	  5.300	  2.000	   2.200	 	  22.000	  10.000	  20.000	<	 4.6000	        	        	<	  82.0000	         	         	 6.700	 4.600	12.400	<	  8.200	       	        	<	     47.000	       	        	1502
     278	090336.7+033124	12221	135.9033	+03.5235	 13.1	  26.1	 0.617	 1.769	 9.800	 5.600	13.600	 	 38.500	  9.000	   9.300	 	 181.000	  60.000	 120.000	 	12.7000	  3.0000	  2.6000	<	 460.0000	         	         	10.200	 5.800	 9.100	 	 32.100	  8.800	   9.600	 	    151.000	  54.00	  90.000	1255
     279	090408.6+012555	 5774	136.0360	+01.4320	  9.4	  40.5	 0.841	 1.402	 5.600	 3.000	10.700	 	 32.000	 12.000	  15.000	 	 130.000	  51.000	  85.000	 	 8.9000	  2.5000	  3.0000	<	 240.0000	         	         	 9.800	 6.000	12.100	 	 29.000	 11.000	  13.000	 	    141.000	  59.00	 102.000	1552
     280	090409.7+003831	 9877	136.0404	+00.6421	 12.2	  18.6	 0.311	 2.644	 2.790	 0.870	 1.930	 	 13.100	  2.200	   2.000	 	  35.500	   6.700	   9.800	 	 7.2000	  1.1000	  1.2000	 	  20.5000	   6.9000	  14.6000	 2.200	 1.300	 2.600	 	 10.700	  1.800	   1.800	 	     26.000	   5.90	  10.500	1400
     281	090417.0+040439	13330	136.0712	+04.0776	 10.9	  19.8	 0.536	 1.819	12.700	 7.500	11.100	 	 43.800	  8.700	   6.900	 	 237.000	  84.000	 125.000	 	13.6000	  2.2000	  2.6000	<	 510.0000	         	         	14.300	 8.400	12.300	 	 38.900	  8.200	   6.200	 	    226.000	  78.00	 116.000	1341
     282	090418.6+020642	 3590	136.0778	+02.1117	 32.9	  78.5	 0.808	 1.611	 3.810	 0.920	 2.200	 	124.000	 19.000	  19.000	 	 375.000	  56.000	  71.000	 	20.0000	  3.6000	  3.6000	 	  77.0000	  22.0000	  38.0000	 3.500	 1.200	 2.400	 	 95.000	 19.000	  22.000	 	    278.000	  57.00	  81.000	1595
     283	090419.1-010436	12660	136.0796	-01.0767	 13.6	  23.6	 0.306	 2.266	 2.200	 1.100	 4.700	 	  8.700	  2.000	   2.000	 	  22.200	   6.100	  12.100	 	 4.1000	  1.1000	  1.0000	<	  47.0000	         	         	 3.200	 1.800	10.200	 	  6.600	  2.200	   2.000	 	     19.800	   7.40	  18.000	1537
     284	090430.7+042648	 1075	136.1282	+04.4468	 37.7	 209.8	 0.457	 2.308	 5.900	 2.100	 9.000	 	 59.000	  8.200	   5.700	 	 217.000	  42.000	 137.000	 	11.7000	  3.1000	  2.3000	 	  66.0000	  26.0000	 112.0000	 7.100	 3.000	12.000	 	 23.600	  5.700	   5.400	 	     98.000	  30.00	  65.000	1192
     285	090452.4+033326	 2931	136.2187	+03.5574	 18.8	  66.3	 0.808	 1.677	 4.200	 1.100	 3.600	 	159.000	 23.000	  28.000	 	 522.000	  84.000	 155.000	 	26.0000	  3.5000	  3.9000	 	 111.0000	  32.0000	  91.0000	 4.200	 1.400	 4.500	 	131.000	 21.000	  24.000	 	    428.000	  71.00	 151.000	1490
     286	090540.0+043440	  354	136.4171	+04.5780	231.4	 678.2	 0.236	 4.608	 3.730	 0.770	 0.790	 	 93.300	  3.100	   3.900	 	 274.000	  24.000	  27.000	 	25.9000	  2.5000	  2.4000	 	  95.0000	  20.0000	  25.0000	 3.460	 0.690	 1.100	 	 58.800	  3.800	   4.200	 	    171.000	  17.00	  23.000	1048
     287	090540.7+013219	 3585	136.4199	+01.5388	 28.1	  79.6	 0.644	 1.973	 6.200	 2.800	 6.900	 	 96.000	 15.000	  17.000	 	 366.000	  88.000	 178.000	 	22.9000	  3.4000	  3.7000	 	 139.0000	  64.0000	 172.0000	 5.900	 2.800	11.700	 	 76.000	 16.000	  17.000	 	    285.000	  74.00	 193.000	1273
     288	090553.5+002244	 5170	136.4732	+00.3791	 10.8	  69.4	 0.367	 2.168	14.600	 8.800	12.600	 	 15.100	  2.500	   2.900	 	  92.000	  36.000	  46.000	 	 5.7000	  1.2000	  1.0000	<	 240.0000	         	         	18.000	10.000	11.000	 	  8.900	  2.700	   2.600	 	     59.000	  24.00	  31.000	1205
     289	090600.3-002521	 9359	136.5016	-00.4226	 18.7	  41.7	 0.299	 2.507	 2.250	 0.640	 0.960	 	 11.900	  2.000	   1.900	 	  29.600	   5.600	   6.200	 	 4.4000	  1.3000	  1.4000	 	   9.7000	   3.6000	   6.3000	 1.820	 0.690	 0.610	 	  8.000	  2.100	   2.200	 	     18.100	   4.90	   5.400	1212
     290	090601.0+000055	 3259	136.5043	+00.0154	 18.6	  92.2	 0.200	 2.876	 2.630	 0.520	 1.370	 	 12.500	  1.600	   1.600	 	  32.900	   4.800	   6.500	 	 4.8300	  0.7100	  0.8200	 	  12.9000	   3.2000	   6.6000	 2.130	 0.450	 1.100	 	  9.900	  1.300	   1.400	 	     24.600	   3.70	   4.200	1208
     291	090609.4+042924	11420	136.5392	+04.4901	  7.8	  19.4	 0.406	 2.010	 4.900	 2.000	 6.800	 	 17.400	  4.100	   3.700	 	  60.000	  16.000	  36.000	 	 7.1000	  1.5000	  1.4000	 	  34.0000	  15.0000	  53.0000	 3.800	 1.700	 3.900	 	 14.300	  4.000	   3.500	 	     44.000	  13.00	  18.000	1286
     292	090614.6-010819	 5854	136.5612	-01.1389	 16.9	  15.5	 0.894	 1.602	14.800	 9.100	11.700	 	 80.000	 15.000	  24.000	 	 490.000	 180.000	 250.000	<	27.0000	        	        	<	 680.0000	         	         	 8.500	 5.000	15.700	<	110.000	       	        	<	    600.000	       	        	1521
     293	090627.5+035846	10162	136.6148	+03.9795	  7.4	  24.6	 0.463	 2.032	 3.100	 1.100	 3.600	 	 19.700	  4.700	   5.400	 	  58.000	  15.000	  24.000	 	 7.6000	  1.8000	  2.2000	 	  24.1000	   9.7000	  29.8000	 2.490	 0.830	 1.920	 	 19.500	  4.700	   5.300	 	     52.000	  13.00	  17.000	1634
     294	090628.9-012938	 2424	136.6207	-01.4941	 46.1	 119.0	 0.431	 2.235	 3.100	 0.780	 2.400	 	 44.200	  4.000	   4.400	 	 125.000	  15.000	  32.000	 	14.0000	  1.6000	  1.8000	 	  44.0000	  12.0000	  35.0000	 3.140	 0.930	 2.090	 	 34.500	  3.400	   4.400	 	     98.000	  13.00	  25.000	2120
     295	090634.9+045033	 8384	136.6454	+04.8427	 10.6	  42.7	 0.884	 1.605	 4.400	 1.800	 9.500	 	163.000	 41.000	  51.000	 	 580.000	 170.000	 310.000	 	24.6000	  6.0000	  5.2000	 	 108.0000	  46.0000	 220.0000	 4.200	 1.900	 7.100	 	123.000	 48.000	  48.000	 	    420.000	 180.00	 210.000	 695
     296	090636.9+010852	 7086	136.6542	+01.1479	 29.6	  53.7	 0.786	 1.723	 7.100	 3.900	12.000	 	 91.000	 19.000	  21.000	 	 370.000	 100.000	 240.000	 	20.9000	  3.4000	  3.6000	<	 660.0000	         	         	 5.000	 2.300	12.200	 	 74.000	 17.000	  22.000	 	    271.000	  78.00	 177.000	1214
