#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:22:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:22:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VIII%2F77%2Ftable3&-out=UGC%2FAGC,OName,Sabs,e_Sabs,SNR,HRV,Tel&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8077
#Name: VIII/77
#Title: HI spectral properties of galaxies (Springob+, 2005)
#INFO	ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2005ApJS..160..149S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/77	    Dataset landing page
#INFO	publication_date=2006-06-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VIII_77_table3:
#Name: VIII/77/table3
#Title: Properties of detected galaxies derived from spectra in digital archive
#Column	UGC/AGC	(I6)	Entry number in the UGC (Cat. <VII/26>) or AGC	[ucd=meta.id;meta.main]
#Column	OName	(a8)	Other name	[ucd=meta.id]
#Column	Sabs	(F6.2)	Self-absorption corrected line flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_Sabs	(F6.2)	Uncertainty in Sabs	[ucd=stat.error]
#Column	SNR	(F5.1)	Ratio of peak flux to rms noise	[ucd=instr.det.noise;stat.max]
#Column	HRV	(I6)	Heliocentric velocity of the profile midpoint	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Tel	(a5)	Code indicating the telescope used (G1)	[ucd=meta.id;instr.tel]
UGC/AGC	OName	Sabs	e_Sabs	SNR	HRV	Tel
400265	N 145   	 16.30	  0.58	 17.0	  4132	GB140
 20355	350 G 31	 16.59	  1.26	 12.2	  1642	GB140
100291	500-040 	  0.64	  0.15	  3.1	  6135	AOlf
   319	500-041 	  8.03	  0.91	 11.4	  6341	AOlf
   320	M+002066	  4.57	  0.58	 11.3	  2374	AOlf
   321	479-037 	  5.20	  0.68	 10.2	  4665	AOlf
400271	M-202049	  4.31	  0.60	  5.3	  4035	GB300
100293	500-042 	  4.29	  0.55	  6.7	  6117	AOlf
   323	434-021 	  6.10	  0.68	 12.7	  4919	AOlf
100295	500-043 	  2.34	  0.25	 10.6	  6053	AOlf
   325	M+402028	  2.35	  0.26	 13.5	  7759	AOlf
400274	M-202051	  6.06	  0.63	 11.8	  6180	Nanc
   327	409-033 	  2.87	  0.31	 15.5	  5398	AOlf
   328	M+002070	 23.28	  2.52	 50.0	  1988	AOlf
100300	409-034 	  1.96	  0.34	  5.7	 13409	AOlf
100301	479-039 	  1.27	  0.17	  7.3	  4598	AOlf
100302	457-019 	  0.93	  0.14	  4.8	 12579	AOlf
   329	383-035 	 12.17	  1.46	 17.2	  4388	AOlf
100303	479-040 	  2.95	  0.32	 12.5	  5182	AOlf
   334	500-045 	  6.77	  0.99	  8.0	  4634	AOlf
   333	550-007 	  4.97	  0.57	 12.8	  5210	GB300
 20385	N 150   	 41.43	  2.01	 18.4	  1587	GB140
100305	409-037 	  0.67	  0.10	  4.6	 12740	AOlf
100306	409-038 	  1.10	  0.14	  6.2	 12696	AOlf
   339	434-022a	  0.44	  0.06	  6.5	  5412	AOlf
   340	I  31   	  7.06	  0.85	 15.6	  9509	AOlf
   337	M+402031	  5.35	  0.56	 20.0	  5333	AOlf
100309	409-039 	  1.17	  0.16	  5.2	  9403	AOlf
   342	383-038 	  5.24	  1.13	  9.5	  6427	AOlf
400290	N 157   	 73.66	  2.65	 18.7	  1649	GB140
   343	        	  3.56	  0.49	  8.2	  5185	GB300
   345	500-046 	  5.69	  0.63	 35.9	  4181	AOlf
   344	519-013 	  6.16	  0.65	 14.6	  5788	GB300
   346	500-047 	  1.77	  0.20	  9.0	  5904	AOlf
100318	434-024 	  2.20	  0.25	  9.4	 11397	AOlf
100317	479-041 	  1.47	  0.20	  7.3	 11344	AOlf
100320	500-048 	  0.72	  0.13	  4.5	  6982	AOlf
   349	383-040 	  4.40	  0.51	 10.5	  6444	AOlf
   348	383-039 	  2.67	  0.41	 11.8	  4217	AOlf
400296	M-102038	  3.59	  0.44	  6.6	  5034	Effs
   351	I  34   	  8.19	  1.19	 20.0	  5318	AOlf
   353	409-045 	  2.38	  0.27	 13.6	  5070	AOlf
   352	479-352 	  2.11	  0.26	  9.5	  5147	AOlf
   355	500-049 	  2.12	  0.27	  8.2	  6356	AOlf
   354	        	  1.40	  0.19	 10.1	  5618	AOlf
400305	M-202064	  5.64	  0.34	  7.8	  4930	GB140
   356	N 160   	  5.67	  0.81	 12.6	  5256	AOlf
100328	434-025 	  1.45	  0.16	 12.5	 10199	AOlf
   357	457-020 	  2.98	  0.33	 13.1	  9267	AOlf
   359	409-047 	  0.58	  0.08	  8.4	  4925	AOlf
   358	383-041 	  6.02	  0.63	 22.3	  5448	AOlf
100329	500-050 	  1.18	  0.17	  5.8	  4867	AOlf
   362	        	  2.63	  0.30	  9.6	  6066	AOlf
100335	457-021 	  2.46	  0.34	  5.4	  9257	AOlf
   364	457-022 	  4.99	  0.55	 12.0	  8915	AOlf
   365	N 169   	 10.53	  1.63	 17.1	  4621	AOlf
100345	500-052 	  4.59	  0.47	 22.5	  1983	AOlf
   370	M+202023	  2.94	  0.37	  9.7	  4511	AOlf
100347	479-046 	  1.00	  0.18	  3.3	  9005	AOlf
100346	519-014 	  1.79	  0.23	  8.2	  4432	AOlf
 20425	N 172   	 11.86	  1.09	  8.8	  3048	GB140
   371	500-053 	  6.07	  0.85	 12.6	  5278	AOlf
   372	M+702009	  3.35	  0.51	  6.5	  5403	GB300
   373	        	  8.10	  0.86	 20.9	 12033	AOlf
   374	434-026 	  4.15	  0.42	 26.3	  4588	AOlf
   377	        	  1.65	  0.23	  5.5	  5334	AOlf
100354	457-023 	  1.11	  0.15	  7.0	  5500	AOlf
   376	        	  8.44	  1.15	 17.8	  4820	AOlf
100356	409-049 	  4.02	  0.49	  9.9	  8486	AOlf
400315	M-202073	  9.02	  0.96	 13.6	  5243	GB300
   380	N 180   	 16.10	  2.30	 34.0	  5281	AOlf
   379	M+102037	  3.75	  0.42	 19.0	  5226	AOlf
100730	K0035+10	  2.17	  0.29	  9.0	 11618	AOlf
   382	N 182   	  8.06	  1.07	  8.0	  5260	AOlf
   384	500-056 	  6.17	  0.74	 12.5	  4705	AOlf
100362	N 181   	  1.08	  0.14	  6.0	  5567	AOlf
   386	434-028 	  1.32	  0.19	  4.8	  5378	AOlf
   385	434-027 	  3.78	  0.49	 12.1	  5515	AOlf
100364	500-058 	  2.08	  0.24	 14.7	  5652	AOlf
   388	M+502034	  2.85	  0.33	 12.2	  5406	AOlf
100371	N 184   	  1.00	  0.15	  5.2	  5265	AOlf
   393	M+302020	  4.56	  0.61	  7.1	  5433	AOlf
101075	        	  1.38	  0.10	 12.2	  5317	AOG
   394	535-013 	  6.38	  0.91	  6.5	  5597	GB300
100375	500-060 	  0.97	  0.12	 10.0	 11254	AOlf
100377	479-050 	  2.36	  0.30	  7.1	  7244	AOlf
101112	        	  0.79	  0.07	  6.5	  5241	AOG
   397	N 190N  	  0.80	  0.10	  9.3	 12176	AOlf
100381	479-052B	  2.68	  0.34	  9.9	  5182	AOlf
   398	479-051 	  2.33	  0.30	  8.5	  4611	AOlf
100385	409-052 	  1.08	  0.16	  5.4	 13024	AOlf
   399	I1564   	  1.73	  0.20	 11.5	  5257	AOlf
   401	N 192   	  1.81	  0.26	  7.3	  4086	AOlf
   405	N 196   	  1.78	  0.31	  4.5	  4393	AOlf
   403	434-029a	  2.69	  0.28	 16.7	 10588	AOlf
   400	500-063 	  3.50	  0.40	  8.3	  5506	AOlf
   402	409-055 	  3.45	  0.39	 10.9	  5296	AOlf
   406	N 197   	  1.08	  0.18	  5.2	  4103	AOlf
   414	N 198   	  3.63	  0.40	 10.9	  5253	AOlf
   409	409-056 	  1.89	  0.22	 10.3	  5188	AOlf
100395	479-054 	  2.80	  0.30	 10.9	  4650	AOlf
   417	        	  1.37	  0.19	  6.3	  6286	AOlf
   412	500-064 	  0.66	  0.11	  3.9	  5485	AOlf
100397	519-015 	  1.48	  0.19	  7.9	  4392	AOlf
   416	M+102049	  3.01	  0.34	 10.8	  4748	AOlf
 20450	351 G  1	  4.13	  0.49	  9.0	  6447	Nanc
 20449	540 G 10	  5.89	  0.55	  5.4	  4029	GB140
   420	N 200   	  6.17	  0.75	  9.8	  5149	AOlf
   419	N 201   	  7.04	  0.91	 14.8	  4401	AOlf
   418	409-059 	  8.21	  0.92	 16.4	  4437	AOlf
100409	N 203   	  0.64	  0.12	  4.0	  5362	AOlf
   422	409-060 	  1.08	  0.14	  7.5	  4440	AOlf
100407	500-065 	  2.20	  0.27	  7.0	  8819	AOlf
100412	457-024 	  3.90	  0.42	 12.7	  9157	AOlf
   425	479-056 	  1.74	  0.20	  9.3	  5845	AOlf
   427	550-010 	 12.05	  1.26	 13.9	  5294	GB300
400333	N 210   	 79.19	  3.19	 19.0	  1638	GB140
100749	        	  0.53	  0.10	  3.9	  6400	AOlf
   432	I1571   	  3.33	  0.41	  8.2	  5847	AOlf
100765	        	  1.02	  0.16	  5.8	 12845	AOlf
100452	383-067 	  1.41	  0.23	  5.1	  5364	AOlf
   433	500-067 	  9.63	  1.28	 11.9	  4656	AOlf
   434	        	  4.31	  0.51	  8.9	  5179	GB300
   436	N 213   	  2.08	  0.27	  7.5	  5446	AOlf
100731	K0038+14	  2.66	  0.32	 12.2	  5043	AOlf
100458	434-030 	  1.71	  0.23	  5.9	  5266	AOlf
   437	        	  1.56	  0.21	  7.1	  4673	AOlf
   439	383-069 	  7.07	  0.76	 16.5	  5302	AOlf
   438	N 214   	 13.58	  1.67	 16.0	  4537	AOlf
100732	FGC  78 	  3.18	  0.41	 11.2	 11868	AOlf
100461	500-068 	  2.97	  0.30	 20.4	  5253	AOlf
100462	500-069 	  1.34	  0.22	  4.5	  6977	AOlf
   441	        	  1.52	  0.16	 15.6	 11776	AOlf
   440	N 218   	  5.46	  0.59	 16.7	  4895	AOlf
100468	383-070 	  2.02	  0.32	  4.4	  5459	AOlf
   442	500-070 	  5.24	  0.65	 11.7	  4928	AOlf
100465	519-018 	  2.40	  0.29	  8.3	 10883	AOlf
100469	409-064 	  1.50	  0.19	  6.1	 12885	AOlf
100470	479-060 	  2.61	  0.32	  6.5	 10151	AOlf
100471	434-031 	  0.79	  0.14	  4.2	 11085	AOlf
   444	519-019 	  4.15	  0.49	  6.0	 10644	AOlf
   443	500-071 	  4.01	  0.45	 15.2	  6244	AOlf
 20471	540 G 16	 22.80	  2.00	 13.1	  1551	GB140
   450	N 223   	  3.29	  0.44	  5.9	  5355	AOlf
   449	I  45   	  4.77	  0.56	 10.3	  5288	AOlf
   446	        	  4.90	  0.58	  8.9	  6252	AOlf
100478	383-077 	  1.79	  0.29	  5.2	  5460	AOlf
   453	        	  2.95	  0.37	 14.3	  4861	AOlf
100480	479-061 	  4.29	  0.50	 10.7	  7377	AOlf
   457	500-075 	  3.50	  0.44	  8.5	  6235	AOlf
   459	N 226   	  6.53	  0.65	 20.5	  4830	AOlf
   458	N 228   	  3.09	  0.37	 13.4	  7391	AOlf
100482	I  46   	  4.02	  0.43	 10.3	  5289	AOlf
   460	550-011 	 13.25	  1.36	 16.6	  5214	GB300
   462	N 236   	  4.31	  0.46	 15.0	  5643	AOlf
   461	N 237   	 12.84	  1.49	 24.6	  4169	AOlf
100486	500-077 	  1.56	  0.25	  3.7	  4928	AOlf
   463	N 234   	  7.72	  0.86	 24.8	  4462	AOlf
 20489	474 G 19	  4.34	  0.58	  4.5	  6774	GB140
   465	500-079 	  3.62	  0.48	  8.2	  4770	AOlf
   466	384-002 	  4.15	  0.48	 12.3	  5461	AOlf
400367	M-103005	 14.52	  0.98	  6.6	  6825	GB140
   468	I  49   	  9.33	  1.07	 18.4	  4558	AOlf
   469	479-066 	  2.93	  0.39	  9.1	 10082	AOlf
   467	        	  2.17	  0.25	 15.3	  4813	AOlf
   470	479-067 	 13.12	  1.53	 29.7	  5187	AOlf
100492	435-002 	  1.08	  0.13	 10.0	 11579	AOlf
   472	        	  2.92	  0.33	 11.0	  4683	AOlf
100501	410-004 	  1.10	  0.15	  5.8	 11978	AOlf
100502	479-068 	  1.03	  0.17	  4.4	 13711	AOlf
   474	FGC85   	  1.96	  0.25	 12.1	 11965	AOlf
100509	479-069 	  4.14	  0.46	  8.6	 13724	AOlf
   476	N 245   	  4.42	  0.54	 10.0	  4079	GB300
   477	458-004 	 37.62	  5.97	 54.6	  2649	AOlf
   475	550-014 	  6.50	  0.68	 14.7	  5274	GB300
100523	500-083 	  1.20	  0.19	  5.7	  4953	AOlf
   478	500-084 	  1.37	  0.19	  8.0	  4997	AOlf
100530	479-071 	  0.58	  0.07	  7.1	 13538	AOlf
   479	500-086 	  4.19	  0.45	 13.8	  6259	AOlf
   482	        	  1.48	  0.19	  7.2	 11852	AOlf
   480	519-021 	  6.10	  0.69	  6.9	 11153	AOlf
100542	500-085 	  1.44	  0.18	  7.0	  4816	AOlf
100544	500-087 	  1.50	  0.23	  5.9	  5979	AOlf
 20516	351 G  5	  3.77	  0.39	 13.6	  7025	Nanc
100551	501-008 	  0.82	  0.11	  7.0	  5219	AOlf
   483	480-002 	  3.29	  0.36	 18.0	  4954	AOlf
   484	501-010 	 22.95	  3.20	 15.0	  4864	AOlf
100553	480-003 	  1.41	  0.19	  6.5	 12679	AOlf
100556	500-092 	  1.13	  0.19	  4.8	  5144	AOlf
 20522	474 G 25	  3.98	  0.44	  9.2	  2852	GB140
   485	501-012 	 14.40	  2.69	 23.7	  5248	AOlf
100557	501-013 	  3.97	  0.42	 15.6	  4995	AOlf
   487	N 250   	  2.87	  0.38	  9.6	  5259	AOlf
   489	I1584   	  3.11	  0.44	 12.0	  4742	AOlf
   488	435-003 	  2.29	  0.27	  8.2	 11785	AOlf
   486	550-015 	  6.37	  0.78	  7.8	  5176	GB300
100561	501-015 	  2.87	  0.33	 10.6	  5072	AOlf
100563	435-004 	  0.60	  0.13	  4.0	  9435	AOlf
 20535	N 253   	999.99	152.24	 99.9	   242	GB140
100564	435-005 	  1.82	  0.22	  7.3	 11571	AOlf
100566	435-006 	  3.65	  0.38	 13.9	 11335	AOlf
   490	N 251   	 18.45	  2.43	 27.4	  4556	AOlf
   493	N 257   	 13.99	  1.68	 37.0	  5277	AOlf
400393	N 259   	 39.16	  2.60	 12.7	  4046	GB140
100572	501-019 	  1.86	  0.28	  4.7	  7025	AOlf
100573	480-008 	  1.18	  0.20	  4.1	  5269	AOlf
   494	I  52   	  6.18	  0.70	 11.5	  1960	AOlf
100575	435-007 	  1.88	  0.20	 15.0	 10822	AOlf
   497	N 260   	  3.57	  0.36	 20.8	  5214	AOlf
   498	        	  1.70	  0.21	  5.4	 16929	AOlf
   500	435-008 	  2.55	  0.31	  7.5	 12006	AOlf
100579	410-009 	  0.91	  0.12	  8.3	 12052	AOlf
   501	501-021 	  6.20	  0.84	 11.9	  5086	AOlf
   503	        	  1.12	  0.16	  6.2	 12197	AOlf
   504	        	  1.58	  0.18	 10.0	 11297	AOlf
   505	384-009 	 13.73	  1.45	 16.7	  3863	GB300
   507	384-010 	 10.44	  1.49	  8.8	  5282	AOlf
100590	410-010 	  1.93	  0.22	 10.7	 11301	AOlf
   509	        	  2.68	  0.32	 10.9	  5134	AOlf
   508	N 266   	 10.69	  1.91	 13.0	  4647	AOlf
100592	384-011 	  7.73	  0.82	 16.0	  4624	AOlf
   510	458-006 	  4.24	  0.50	 10.9	  4535	AOlf
   512	410-012 	  3.54	  0.37	 15.2	  5383	AOlf
100593	410-011 	  1.92	  0.22	  9.2	 11886	AOlf
400411	N 268   	 17.81	  1.96	 10.7	  5434	GB300
   511	501-023 	  4.15	  0.51	 14.4	  4595	AOlf
100594	480-013 	  3.48	  0.39	  8.0	 10144	AOlf
   513	435-010 	  1.81	  0.23	  6.3	 11899	AOlf
100596	480-014 	  3.86	  0.39	 13.7	 10169	AOlf
100750	FGC 188 	  1.56	  0.20	  8.1	 11250	AOlf
100733	FGC 189 	  1.51	  0.19	  7.6	  9107	AOlf
   519	N 271   	  4.22	  0.61	  7.8	  4088	AOlf
   515	M+203006	  1.50	  0.18	  8.1	 11800	AOlf
100723	K0048+30	  2.06	  0.25	  9.6	  6697	AOlf
   518	501-025 	  2.31	  0.28	  9.3	 10387	AOlf
100598	501-024 	  3.73	  0.44	  9.0	  5006	AOlf
100763	FGC 192 	  2.26	  0.31	  6.4	  4572	AOlf
400423	N 274   	 34.26	  3.50	 16.0	  1751	GB300
100601	435-013 	  1.70	  0.20	  8.0	 11244	AOlf
   520	        	  2.73	  0.29	  9.8	 20301	AOlf
   521	435-014 	 10.45	  1.04	 58.2	   657	AOlf
   522	535-023 	  1.56	  0.28	  5.0	  5860	GB300
   525	501-028 	  3.76	  0.45	  9.7	  4933	AOlf
   524	501-027 	  2.17	  0.27	  6.2	 10778	AOlf
100604	480-016 	  3.57	  0.48	  6.4	  7303	AOlf
   527	M+003017	  3.68	  0.49	  7.3	  1952	AOlf
   531	384-017 	  1.35	  0.18	  6.6	 12657	AOlf
100734	FGC 200 	  2.10	  0.26	 12.7	  9116	AOlf
   533	435-016 	  2.87	  0.35	  9.8	  5475	AOlf
   534	N 280   	  9.08	  1.35	  9.6	 10161	AOlf
   535	480-018 	  1.64	  0.23	  6.0	 14795	AOlf
   536	        	  1.04	  0.19	  4.9	  4869	AOlf
100608	435-017 	  1.25	  0.18	  6.1	 11987	AOlf
101127	n96     	  1.57	  0.09	 11.1	 16779	AOG
100724	FGC 202 	  2.33	  0.33	  6.3	  8277	AOlf
   539	535-026 	  4.47	  0.52	 14.6	 10010	GB300
   540	501-031 	  4.95	  0.50	 20.7	  4974	AOlf
   541	FGC 203 	  2.82	  0.35	 12.8	  7303	AOlf
   542	501-032 	 18.24	  2.67	 44.7	  4510	AOlf
   543	I1592   	  1.96	  0.28	  5.4	  5186	AOlf
100618	384-020 	  2.80	  0.34	  9.1	  5008	AOlf
100725	FGC 207 	  4.59	  0.61	 10.1	  7501	AOlf
   544	384-021 	  3.43	  0.46	  6.8	  4907	AOlf
400467	N 291   	  2.42	  0.30	  6.4	  5681	Nanc
   545	IZw1    	  1.07	  0.14	  5.6	 18338	AOlf
   546	458-007 	  3.35	  0.45	  5.6	  4498	AOlf
 20625	474 G 39	  3.88	  0.44	  7.5	  5565	Nanc
 20628	351 G 18	  5.03	  0.55	  8.0	  5381	Nanc
100621	458-008 	  0.97	  0.12	  7.0	 10894	AOlf
100622	501-035 	  1.54	  0.22	  5.7	  6780	AOlf
   548	501-036 	  4.65	  0.50	 13.4	  6604	AOlf
100626	480-020 	  2.54	  0.27	 13.9	 13518	AOlf
   553	I1598   	  0.56	  0.09	  4.7	  4601	AOlf
   549	520-002 	  4.77	  0.68	 11.4	  6062	AOlf
   557	501-041 	  5.22	  0.58	  9.7	  4499	AOlf
   560	        	  1.87	  0.22	 10.6	  5436	AOlf
   558	435-018 	  3.48	  0.42	 11.2	 11731	AOlf
   552	557-003 	  3.67	  0.44	  8.9	  5164	GB300
   556	501-040 	  6.58	  0.67	 19.7	  4629	AOlf
100627	435-020 	  1.03	  0.15	  5.7	 11377	AOlf
   561	        	  8.50	  0.96	 13.4	  4682	AOlf
 20649	541 G  1	 16.45	  0.83	  7.3	  6376	GB140
   562	N 296   	  6.80	  0.84	 13.5	  5469	AOlf
   569	        	  1.73	  0.43	  6.4	 13357	AOlf
   564	520-003 	  4.20	  0.51	  6.8	 11047	AOlf
100629	435-021 	  2.14	  0.25	  8.0	 11827	AOlf
   566	501-045 	  9.59	  1.19	  8.6	  6294	AOlf
   565	501-044 	  3.17	  0.37	 10.6	  5645	AOlf
100633	435-022 	  1.20	  0.13	  7.9	 17213	AOlf
100634	501-047 	  1.81	  0.21	  8.3	  6675	AOlf
 20661	411 G 31	  2.78	  0.47	  5.7	  1575	GB140
   571	435-023 	  2.77	  0.30	  9.1	 12307	AOlf
   572	435-024 	  2.03	  0.24	  7.5	 11929	AOlf
100661	410-017 	  1.98	  0.27	  5.2	 10710	AOlf
   575	501-048 	  2.57	  0.35	  6.3	  4652	AOlf
100669	458-010 	  0.75	  0.10	  5.5	 17327	AOlf
   574	        	  2.24	  0.25	 10.3	  5279	AOlf
   576	550-019 	  2.83	  0.38	  7.4	  5071	GB300
   581	        	  1.82	  0.26	 10.4	 11626	AOlf
400506	N 309   	 25.68	  1.00	 14.8	  5661	GB140
100679	410-018 	  1.02	  0.19	  3.5	 11812	AOlf
   586	        	  2.80	  0.38	  8.3	 11688	AOlf
   590	435-025 	  3.25	  0.33	 16.5	 14885	AOlf
   591	480-025 	  4.43	  0.48	 11.5	  4841	AOlf
 20686	475 G  2	  4.79	  0.54	  7.7	  1866	GB140
400516	M-103041	  1.64	  0.24	  5.8	  5659	Effs
   594	N 317b  	  4.36	  0.49	 10.1	  5334	GB300
100684	501-051 	  0.98	  0.12	  6.2	  5302	AOlf
100686	435-026 	  1.63	  0.21	  7.6	  5466	AOlf
100685	501-050 	  0.71	  0.11	  6.1	  7383	AOlf
 20694	411 G 34	 11.06	  1.11	 18.7	  5587	Nanc
   598	501-053 	  0.55	  0.10	  3.9	  5000	AOlf
400521	N 327   	  6.88	  0.87	  8.7	  5480	GB300
100687	501-055 	  1.15	  0.17	  6.4	  4725	AOlf
   600	550-021 	  2.71	  0.45	  6.5	  6809	GB300
100690	480-027 	  2.30	  0.25	 10.5	 10434	AOlf
100692	435-028 	  2.08	  0.23	  7.7	 14154	AOlf
   604	        	  2.96	  0.46	  6.4	  5219	GB300
   606	I  62   	  1.40	  0.19	  4.3	 11585	AOlf
   607	435-030 	  0.99	  0.13	  6.1	 11649	AOlf
   611	I1607   	  5.83	  0.59	 19.5	  5441	AOlf
 20704	541 G  4	 18.69	  0.95	 14.0	  1999	GB140
 20707	N 335   	 10.24	  1.13	 14.2	  5708	Nanc
100696	480-029 	  0.69	  0.11	  5.4	  5082	AOlf
100697	501-056 	  1.49	  0.19	  6.5	  4618	AOlf
   614	520-006 	  6.25	  0.70	 11.4	  2357	AOlf
   616	458-011 	  2.20	  0.26	  9.7	 11278	AOlf
100699	501-057 	  1.53	  0.20	  6.7	  4863	AOlf
   615	435-034 	  1.72	  0.21	  7.2	  5507	AOlf
   618	384-052 	  4.41	  0.78	  6.5	  5285	AOlf
   619	435-619 	  3.74	  0.50	 10.1	 12197	AOlf
   617	458-012 	  0.53	  0.10	  4.7	  5478	AOlf
400534	N 337   	 53.58	  2.09	 13.1	  1650	GB140
100701	501-058 	  3.06	  0.37	 12.2	  4455	AOlf
400535	M-203061	  3.71	  0.39	 11.7	  5427	Nanc
   621	458-013 	  2.09	  0.25	  7.9	 12524	AOlf
100705	480-031 	  0.86	  0.16	  3.9	 14906	AOlf
   622	551-003 	 12.90	  1.40	 10.1	  2715	GB300
   623	I  66   	  2.69	  0.29	 10.1	  4830	AOlf
   624	N 338   	 13.69	  1.59	 23.3	  4784	AOlf
100706	501-060 	  0.85	  0.14	  4.5	  6735	AOlf
   628	M+303013	  6.47	  0.82	 15.8	  5447	AOlf
   625	I  65   	 44.91	  2.61	 21.1	  2618	GB140
   627	435-035 	  1.78	  0.21	  9.7	 11773	AOlf
   630	M+503037	  0.97	  0.14	  6.9	  4883	AOlf
   629	501-062 	  5.70	  0.64	 10.2	  4995	AOlf
100707	458-015 	  1.54	  0.17	  8.7	 11851	AOlf
   631	M+203025	  6.44	  0.85	 18.2	  6044	AOlf
   632	501-063 	  0.46	  0.07	  5.4	  6996	AOlf
   633	501-065 	  8.79	  1.10	  9.1	  5574	AOlf
100709	I  69   	  0.61	  0.12	  4.3	  5025	AOlf
   634	410-023 	 17.39	  0.58	 20.2	  2211	GB140
100711	435-036 	  2.61	  0.34	  5.0	 11589	AOlf
400549	N 337A  	122.64	 13.54	 99.9	  1074	GB300
   637	M+003056	  2.33	  0.27	 10.5	  4375	AOlf
100712	501-068 	  2.31	  0.28	  7.9	  4888	AOlf
   639	N 351   	  4.11	  0.62	  4.4	  4231	AOlf
100714	480-033 	  0.96	  0.11	 11.9	 10069	AOlf
400553	N 352   	  8.79	  1.08	  6.0	  5274	GB300
   640	410-024 	  1.57	  0.22	  8.2	 11639	AOlf
100719	480-035 	  2.09	  0.24	  8.7	  4992	AOlf
   641	N 353   	  4.82	  0.68	  7.1	  4100	AOlf
100720	520-008 	  3.36	  0.39	  7.4	 11331	AOlf
   643	480-036 	  4.44	  0.51	 17.6	  9041	AOlf
110004	410-026 	  1.61	  0.19	  7.8	 11974	AOlf
110005	410-027 	  1.11	  0.17	  6.1	 11507	AOlf
   645	N 354   	  2.45	  0.26	 13.0	  4665	AOlf
   644	435-037a	  3.29	  0.41	  8.8	 12282	AOlf
   646	501-071 	  0.95	  0.13	  5.9	  5298	AOlf
   649	410-028 	  3.38	  0.44	  4.7	 14532	AOlf
   656	384-063 	  2.26	  0.34	  6.3	  5521	AOlf
   653	        	  3.95	  0.53	  7.2	  6263	AOlf
   652	M+403038	  3.93	  0.44	 14.3	  5666	AOlf
   657	M+503045	  2.83	  0.43	  6.0	  4974	AOlf
   655	536-016 	 22.34	  2.22	 31.4	   826	GB300
   660	        	  1.16	  0.12	 19.9	 12300	AOlf
110011	501-073 	  0.91	  0.11	  7.3	  4078	AOlf
110012	480-038 	  1.44	  0.18	  8.0	 15251	AOlf
110014	I  73   	  2.28	  0.27	  9.3	  6289	AOlf
   667	        	  2.66	  0.32	  7.5	  6087	AOlf
110013	501-074 	  1.26	  0.25	  2.9	 11394	AOlf
110015	480-039 	  2.86	  0.29	 10.0	 16483	AOlf
   669	501-075 	  1.80	  0.25	  6.4	  5855	AOlf
110022	435-038 	  1.81	  0.20	  7.2	 12109	AOlf
110020	520-010 	  2.23	  0.37	  4.0	 12157	AOlf
   673	501-079 	  5.49	  0.68	 15.9	  6251	AOlf
   676	384-071 	  2.55	  0.18	  6.9	 14842	AOG
110025	480-041 	  2.38	  0.31	  9.0	  6626	AOlf
   678	384-072 	  4.15	  0.43	 17.9	  5526	AOlf
   674	        	  0.91	  0.15	  4.6	  5628	AOlf
110026	520-011 	  2.02	  0.27	  9.1	  4573	AOlf
   677	435-039 	  1.83	  0.21	 11.0	 12091	AOlf
110031	410-033 	  1.44	  0.20	  6.2	 11316	AOlf
110030	480-043 	  1.63	  0.19	  8.8	 11733	AOlf
111669	        	  1.80	  0.11	  9.8	  5435	AOG
110037	384-075 	  1.66	  0.21	  7.6	  4696	AOlf
110035	435-041 	  0.88	  0.10	 12.2	 12077	AOlf
   679	M+503049	  2.69	  0.32	  7.9	  5110	AOlf
   684	I  75   	  4.75	  0.53	  9.0	 12326	AOlf
   681	I1620a  	  3.54	  0.41	  7.1	 11479	AOlf
110040	480-044 	  0.92	  0.15	  5.9	  9102	AOlf
   685	458-020 	 17.72	  1.98	 57.1	   156	AOlf
   690	520-014 	  8.61	  0.96	  9.9	  5869	GB300
110045	520-015 	  2.46	  0.27	 12.7	  4528	AOlf
   692	501-089 	  2.59	  0.28	 11.6	  5791	AOlf
